	CHR	START	END	MeanDecreaseAccuracy	MeanDecreaseGini	Symbol	V1	V2	V3	V4	V5	V6	V7	V8	Symbol.1	Estimate	Std..Error	t.value	Pr...t..
cg21553182	chr19	52956671	52956972	0.000102371	0.067780046	ZNF578	chr19	52956821	52956822	cg21553182	ZNF578	R	Island	II	ZNF578	-2.04E-05	3.96E-06	-5.160628502	2.87E-07
cg26381313	chr10	102279305	102279606	6.79E-05	0.060732623	SEC31B	chr10	102279455	102279456	cg26381313	SEC31B	F	Island	I	SEC31B	-4.52E-06	5.65E-07	-7.996716885	2.96E-15
cg13434308	chr12	29936336	29936637	0.000224679	0.057518664	TMTC1	chr12	29936486	29936487	cg13434308	TMTC1	R	Island	I	TMTC1	-1.95E-06	8.36E-08	-23.30004248	1.54E-99
cg01294808	chr5	3599536	3599837	1.24E-05	0.056293556	IRX1	chr5	3599686	3599687	cg01294808	IRX1	R	Island	I	IRX1	-1.50E-07	2.20E-08	-6.833475184	1.31E-11
cg01135780	chr5	158527557	158527858	0.000161173	0.055244848	EBF1	chr5	158527707	158527708	cg01135780	EBF1	R	Island	I	EBF1	-1.41E-06	4.53E-08	-31.04544506	3.23E-156
cg12552771	chr22	29709170	29709471	0.000113208	0.054689175	RASL10A	chr22	29709320	29709321	cg12552771	RASL10A	R	Island	I	RASL10A	-5.93E-06	3.82E-07	-15.55587162	6.85E-50
cg03989260	chr1	119529210	119529511	8.68E-05	0.051730381	TBX15	chr1	119529360	119529361	cg03989260	TBX15	R	N_Shore	II	TBX15	-1.47E-06	7.90E-08	-18.57011321	6.04E-68
cg12265829	chr14	24803872	24804173	0.000108434	0.049622278	ADCY4	chr14	24804022	24804023	cg12265829	ADCY4	F	Island	II	ADCY4	-4.89E-06	1.93E-07	-25.33578446	5.18E-114
cg04858155	chr11	44332219	44332520	0.000437046	0.047987504	ALX4	chr11	44332369	44332370	cg04858155	ALX4	R	Island	I	ALX4	-1.93E-06	1.71E-07	-11.28117891	3.87E-28
cg10521706	chr2	19556436	19556737	1.85E-05	0.046943872	OSR1	chr2	19556586	19556587	cg10521706	OSR1	F	Island	II	OSR1	-1.28E-06	9.61E-08	-13.35095836	4.90E-38
cg02501779	chr20	54579205	54579506	8.11E-05	0.046113899	CBLN4	chr20	54579355	54579356	cg02501779	CBLN4	F	Island	II	CBLN4	-6.20E-06	5.43E-07	-11.41412752	9.80E-29
cg10119075	chr10	7709588	7709889	0.000260982	0.04318515	ITIH5	chr10	7709738	7709739	cg10119075	ITIH5	F	CpG_Ocean	II	ITIH5	-8.86E-07	2.87E-08	-30.84630779	1.01E-154
cg07341624	chr20	2539017	2539318	0.000186419	0.038130101	TMC2	chr20	2539167	2539168	cg07341624	TMC2	R	Island	II	TMC2	-3.88E-05	2.44E-06	-15.89445964	8.07E-52
cg16359657	chr1	41119781	41120082	3.07E-05	0.037205777	RIMS3	chr1	41119931	41119932	cg16359657	RIMS3	F	Island	II	RIMS3	-4.33E-06	2.73E-07	-15.85115518	1.43E-51
cg12166610	chr8	31498106	31498407	0.00011976	0.037154299	NRG1	chr8	31498256	31498257	cg12166610	NRG1	R	Island	I	NRG1	-2.20E-06	1.98E-07	-11.11443051	2.13E-27
cg08363794	chr2	176986310	176986611	2.31E-05	0.035605477	HOXD9	chr2	176986460	176986461	cg08363794	HOXD9	R	Island	II	HOXD9	-1.13E-06	1.26E-07	-8.959779968	1.20E-18
cg17657179	chr19	52227159	52227460	3.05E-05	0.033356026	HAS1	chr19	52227309	52227310	cg17657179	HAS1	R	CpG_Ocean	I	HAS1	-1.51E-06	1.71E-07	-8.816570597	4.02E-18
cg18077971	chr2	223164717	223165018	0.000277467	0.032779687	PAX3	chr2	223164867	223164868	cg18077971	PAX3	F	S_Shore	I	PAX3	-7.14E-06	1.44E-06	-4.972461291	7.56E-07
cg02372889	chr19	36247373	36247674	0.000206353	0.030602827	HSPB6	chr19	36247523	36247524	cg02372889	HSPB6	F	Island	I	HSPB6	-9.99E-08	4.35E-09	-22.9642329	3.41E-97
cg02309273	chr1	38412594	38412895	2.46E-05	0.028891924	INPP5B	chr1	38412744	38412745	cg02309273	INPP5B	F	CpG_Ocean	II	INPP5B	-3.65E-06	3.59E-07	-10.1641699	2.39E-23
cg07163547	chr1	165413173	165413474	-6.95E-06	0.02873827	RXRG	chr1	165413323	165413324	cg07163547	RXRG	R	CpG_Ocean	II	RXRG	-4.29E-06	3.84E-07	-11.18364067	1.05E-27
cg25763393	chr19	52956682	52956983	1.44E-07	0.028670807	ZNF578	chr19	52956832	52956833	cg25763393	ZNF578	R	Island	I	ZNF578	-2.04E-05	3.96E-06	-5.160628502	2.87E-07
cg00599770	chr7	27196675	27196976	1.26E-05	0.02851463	HOXA7	chr7	27196825	27196826	cg00599770	HOXA7	R	N_Shore	II	HOXA7	-2.55E-06	2.46E-07	-10.3422522	4.39E-24
cg11909748	chr19	52956524	52956825	0.000143302	0.028473531	ZNF578	chr19	52956674	52956675	cg11909748	ZNF578	R	Island	I	ZNF578	-2.04E-05	3.96E-06	-5.160628502	2.87E-07
cg12626956	chr9	79634359	79634660	7.78E-05	0.026852123	FOXB2	chr9	79634509	79634510	cg12626956	FOXB2	R	Island	II	FOXB2	-0.000113618	2.56E-05	-4.445110349	9.59E-06
cg17949727	chr1	38412534	38412835	0.000163291	0.026046491	INPP5B	chr1	38412684	38412685	cg17949727	INPP5B	F	CpG_Ocean	I	INPP5B	-3.65E-06	3.59E-07	-10.1641699	2.39E-23
cg12758687	chr11	113346177	113346478	6.27E-05	0.02527445	DRD2	chr11	113346327	113346328	cg12758687	DRD2	F	Island	II	DRD2	-1.44E-06	2.76E-07	-5.225860074	2.04E-07
cg25044651	chr5	115298570	115298871	1.95E-05	0.025159976	LVRN	chr5	115298720	115298721	cg25044651	LVRN	F	Island	II	LVRN	-4.58E-06	1.91E-07	-23.96812741	3.05E-104
cg07307078	chr18	12307480	12307781	0.000135775	0.024802796	TUBB6	chr18	12307630	12307631	cg07307078	TUBB6	F	Island	II	TUBB6	-3.69E-07	2.54E-08	-14.54772016	2.58E-44
cg02245378	chr2	223161621	223161922	0.000123779	0.024537143	PAX3	chr2	223161771	223161772	cg02245378	PAX3	R	Island	II	PAX3	-7.14E-06	1.44E-06	-4.972461291	7.56E-07
cg18653451	chr19	46916868	46917169	0.000216716	0.024519839	CCDC8	chr19	46917018	46917019	cg18653451	CCDC8	F	S_Shore	I	CCDC8	-7.86E-07	4.31E-08	-18.26385388	5.02E-66
cg05749969	chr1	38412561	38412862	1.24E-05	0.024304397	INPP5B	chr1	38412711	38412712	cg05749969	INPP5B	F	CpG_Ocean	II	INPP5B	-3.65E-06	3.59E-07	-10.1641699	2.39E-23
cg22275864	chr8	37822412	37822713	0.000104615	0.024303181	ADRB3	chr8	37822562	37822563	cg22275864	ADRB3	R	Island	I	ADRB3	-1.22E-05	1.66E-06	-7.33315221	4.10E-13
cg01580681	chr4	174449866	174450167	1.25E-05	0.023529412	HAND2	chr4	174450016	174450017	cg01580681	HAND2	R	N_Shore	II	HAND2	-3.48E-06	5.20E-07	-6.689061223	3.42E-11
cg10364040	chr2	176980914	176981215	0.000125	0.023122243	HOXD10	chr2	176981064	176981065	cg10364040	HOXD10	F	Island	I	HOXD10	-5.95E-06	6.67E-07	-8.921618475	1.66E-18
cg23077820	chr2	223154026	223154327	-4.30E-05	0.022929761	PAX3	chr2	223154176	223154177	cg23077820	PAX3	F	N_Shore	II	PAX3	-7.14E-06	1.44E-06	-4.972461291	7.56E-07
cg00840332	chr7	127881119	127881420	1.86E-05	0.022157	LEP	chr7	127881269	127881270	cg00840332	LEP	R	Island	I	LEP	-1.36E-07	5.59E-09	-24.24888228	3.12E-106
cg04253876	chr2	30453608	30453909	1.45E-07	0.020862627	LBH	chr2	30453758	30453759	cg04253876	LBH	R	Island	II	LBH	-2.87E-07	3.88E-08	-7.38289816	2.87E-13
cg06188545	chr1	156863493	156863794	4.10E-05	0.020331199	PEAR1	chr1	156863643	156863644	cg06188545	PEAR1	R	Island	I	PEAR1	-5.00E-06	1.49E-07	-33.49169948	1.12E-174
cg13879776	chr3	170136113	170136414	-3.00E-05	0.018977936	CLDN11	chr3	170136263	170136264	cg13879776	CLDN11	R	Island	II	CLDN11	-3.26E-06	1.00E-07	-32.42437937	1.30E-166
cg11479165	chr15	65068444	65068745	6.06E-06	0.018850048	RBPMS2	chr15	65068594	65068595	cg11479165	RBPMS2	R	S_Shore	II	RBPMS2	-2.04E-06	1.23E-07	-16.55085983	1.24E-55
cg00662556	chr18	74963214	74963515	5.16E-05	0.018757686	GALR1	chr18	74963364	74963365	cg00662556	GALR1	R	Island	II	GALR1	-0.000100767	1.01E-05	-10.02622598	8.76E-23
cg04739647	chr2	176987312	176987613	0.000108434	0.018564575	HOXD9	chr2	176987462	176987463	cg04739647	HOXD9	R	Island	I	HOXD9	-1.13E-06	1.26E-07	-8.959779968	1.20E-18
cg00175709	chr1	207669864	207670165	3.68E-05	0.018247685	CR1	chr1	207670014	207670015	cg00175709	CR1	F	Island	II	CR1	-8.37E-06	1.18E-06	-7.092578654	2.23E-12
cg13558754	chr19	36247717	36248018	0.000123495	0.018226447	HSPB6	chr19	36247867	36247868	cg13558754	HSPB6	F	Island	I	HSPB6	-9.99E-08	4.35E-09	-22.9642329	3.41E-97
cg06482428	chr4	21950023	21950324	-3.54E-07	0.017733333	KCNIP4	chr4	21950173	21950174	cg06482428	KCNIP4	F	Island	II	KCNIP4	-4.05E-06	8.32E-07	-4.864813048	1.30E-06
cg10784030	chr1	38412538	38412839	2.41E-05	0.017438379	INPP5B	chr1	38412688	38412689	cg10784030	INPP5B	F	CpG_Ocean	II	INPP5B	-3.65E-06	3.59E-07	-10.1641699	2.39E-23
cg21488066	chr6	28367748	28368049	-1.18E-05	0.017271957	ZSCAN12	chr6	28367898	28367899	cg21488066	ZSCAN12	F	S_Shore	II	ZSCAN12	-4.39E-06	4.12E-07	-10.67085877	1.80E-25
cg23281803	chr8	121138167	121138468	1.80E-06	0.017189793	COL14A1	chr8	121138317	121138318	cg23281803	COL14A1	R	S_Shore	II	COL14A1	-2.81E-07	1.81E-08	-15.51516328	1.16E-49
cg02177231	chr1	119529780	119530081	5.81E-06	0.016896585	TBX15	chr1	119529930	119529931	cg02177231	TBX15	F	Island	II	TBX15	-1.47E-06	7.90E-08	-18.57011321	6.04E-68
cg10959198	chr15	93632746	93633047	6.67E-05	0.016476496	RGMA	chr15	93632896	93632897	cg10959198	RGMA	F	Island	II	RGMA	-1.44E-06	1.58E-07	-9.137580715	2.61E-19
cg16536329	chr5	178368035	178368336	5.65E-06	0.016216532	ZNF454	chr5	178368185	178368186	cg16536329	ZNF454	R	Island	II	ZNF454	-5.43E-06	8.08E-07	-6.716048854	2.86E-11
cg09434193	chr16	227083	227384	1.22E-05	0.015646751	HBA1	chr16	227233	227234	cg09434193	HBA1	R	Island	I	HBA1	-4.39E-06	3.40E-07	-12.88596605	1.06E-35
cg17403609	chr5	180075712	180076013	0.000121287	0.015140616	FLT4	chr5	180075862	180075863	cg17403609	FLT4	F	Island	I	FLT4	-4.92E-06	2.61E-07	-18.83576851	1.26E-69
cg06183338	chr5	178004054	178004355	-2.50E-05	0.014675	COL23A1	chr5	178004204	178004205	cg06183338	COL23A1	F	Island	I	COL23A1	-1.95E-06	3.80E-07	-5.130506981	3.36E-07
cg04268950	chr11	130298704	130299005	7.95E-05	0.014460724	ADAMTS8	chr11	130298854	130298855	cg04268950	ADAMTS8	F	S_Shore	I	ADAMTS8	-1.69E-06	3.09E-07	-5.467426537	5.54E-08
cg11368643	chr5	140624909	140625210	9.01E-05	0.013808326	PCDHB15	chr5	140625059	140625060	cg11368643	PCDHB15	R	N_Shore	II	PCDHB15	-9.44E-06	6.69E-07	-14.10495774	6.02E-42
cg01557798	chr1	228400478	228400779	-1.83E-05	0.013466214	OBSCN	chr1	228400628	228400629	cg01557798	OBSCN	R	Island	II	OBSCN	-3.80E-07	8.26E-08	-4.59667141	4.74E-06
cg06284231	chr14	38724105	38724406	1.21E-05	0.013395217	CLEC14A	chr14	38724255	38724256	cg06284231	CLEC14A	R	Island	II	CLEC14A	-7.33E-07	4.01E-08	-18.25486462	5.71E-66
cg07660236	chr6	28367733	28368034	0.000149308	0.013281805	ZSCAN12	chr6	28367883	28367884	cg07660236	ZSCAN12	R	S_Shore	II	ZSCAN12	-4.39E-06	4.12E-07	-10.67085877	1.80E-25
cg26521404	chr7	27204831	27205132	-1.94E-05	0.013066667	HOXA9	chr7	27204981	27204982	cg26521404	HOXA9	F	Island	I	HOXA9	-6.84E-07	1.09E-07	-6.297902346	4.21E-10
cg16783744	chr8	105478705	105479006	-4.52E-07	0.013022153	DPYS	chr8	105478855	105478856	cg16783744	DPYS	R	Island	I	DPYS	-3.29E-05	3.74E-06	-8.792883059	4.90E-18
cg25984671	chr20	590933	591234	-1.25E-05	0.012444444	TCF15	chr20	591083	591084	cg25984671	TCF15	F	Island	I	TCF15	-3.26E-06	3.66E-07	-8.904198847	1.92E-18
cg00875805	chr4	140656599	140656900	1.23E-05	0.012307692	MAML3	chr4	140656749	140656750	cg00875805	MAML3	F	Island	I	MAML3	-1.96E-06	2.36E-07	-8.290334945	2.97E-16
cg26727693	chr12	63544025	63544326	1.77E-05	0.012	AVPR1A	chr12	63544175	63544176	cg26727693	AVPR1A	F	Island	II	AVPR1A	-2.72E-06	1.90E-07	-14.3189406	4.38E-43
cg27494647	chr7	150038748	150039049	2.51E-05	0.011766965	RARRES2	chr7	150038898	150038899	cg27494647	RARRES2	F	Island	I	RARRES2	-9.24E-08	8.76E-09	-10.5420349	6.37E-25
cg01537995	chr14	85996202	85996503	9.17E-05	0.011347763	FLRT2	chr14	85996352	85996353	cg01537995	FLRT2	F	N_Shore	II	FLRT2	-9.18E-06	5.22E-07	-17.59375074	6.89E-62
cg22731271	chr2	66666909	66667210	5.23E-05	0.011242505	MEIS1	chr2	66667059	66667060	cg22731271	MEIS1	R	CpG_Ocean	I	MEIS1	-4.20E-06	4.13E-07	-10.1741317	2.18E-23
cg18347642	chr4	21950616	21950917	1.21E-05	0.011210256	KCNIP4	chr4	21950766	21950767	cg18347642	KCNIP4	F	Island	I	KCNIP4	-4.05E-06	8.32E-07	-4.864813048	1.30E-06
cg10024583	chr17	45772650	45772951	0.000129794	0.01102998	TBKBP1	chr17	45772800	45772801	cg10024583	TBKBP1	F	Island	II	TBKBP1	-9.07E-07	1.95E-07	-4.654072666	3.61E-06
cg13906811	chr2	50574943	50575244	1.83E-05	0.010895238	NRXN1	chr2	50575093	50575094	cg13906811	NRXN1	R	S_Shore	I	NRXN1	-3.72E-06	7.93E-07	-4.691566061	3.02E-06
cg06419750	chr12	129337760	129338061	6.04E-06	0.010666667	GLT1D1	chr12	129337910	129337911	cg06419750	GLT1D1	F	Island	I	GLT1D1	-1.21E-05	1.76E-06	-6.844278991	1.22E-11
cg03355526	chr5	178368265	178368566	-1.84E-05	0.010371418	ZNF454	chr5	178368415	178368416	cg03355526	ZNF454	F	Island	II	ZNF454	-5.43E-06	8.08E-07	-6.716048854	2.86E-11
cg09578028	chr2	176987261	176987562	-6.21E-06	0.010285714	HOXD9	chr2	176987411	176987412	cg09578028	HOXD9	R	Island	II	HOXD9	-1.13E-06	1.26E-07	-8.959779968	1.20E-18
cg16179952	chr2	946967	947268	5.06E-05	0.0102	SNTG2	chr2	947117	947118	cg16179952	SNTG2	R	Island	II	SNTG2	-1.49E-05	1.22E-06	-12.2684144	1.06E-32
cg01158277	chr11	111783177	111783478	0.000106509	0.009955556	CRYAB	chr11	111783327	111783328	cg01158277	CRYAB	R	CpG_Ocean	I	CRYAB	-5.89E-08	3.26E-09	-18.07053578	8.01E-65
cg13652336	chr8	68863862	68864163	0.000126751	0.009939394	PREX2	chr8	68864012	68864013	cg13652336	PREX2	F	N_Shore	II	PREX2	-5.20E-06	1.99E-07	-26.1931236	3.20E-120
cg20119106	chr7	153750271	153750572	1.86E-05	0.009838257	DPP6	chr7	153750421	153750422	cg20119106	DPP6	F	Island	II	DPP6	-1.35E-05	1.39E-06	-9.673327061	2.26E-21
cg20156659	chr2	48982682	48982983	2.45E-05	0.0096	LHCGR	chr2	48982832	48982833	cg20156659	LHCGR	F	Island	I	LHCGR	-4.12E-05	1.90E-06	-21.69617116	1.84E-88
cg08102508	chr3	13115018	13115319	-1.79E-05	0.0096	IQSEC1	chr3	13115168	13115169	cg08102508	IQSEC1	F	Island	I	IQSEC1	-9.58E-07	7.93E-08	-12.07880473	8.42E-32
cg13902210	chr1	110754286	110754587	3.13E-05	0.009565883	KCNC4	chr1	110754436	110754437	cg13902210	KCNC4	F	Island	I	KCNC4	-9.71E-06	5.63E-07	-17.22733155	1.15E-59
cg05363616	chr1	119529069	119529370	5.93E-06	0.009422222	TBX15	chr1	119529219	119529220	cg05363616	TBX15	R	N_Shore	II	TBX15	-1.47E-06	7.90E-08	-18.57011321	6.04E-68
cg15383276	chr22	29709132	29709433	-5.97E-06	0.009333333	RASL10A	chr22	29709282	29709283	cg15383276	RASL10A	R	Island	II	RASL10A	-5.93E-06	3.82E-07	-15.55587162	6.85E-50
cg12426146	chr4	140656960	140657261	-1.22E-05	0.008738095	MAML3	chr4	140657110	140657111	cg12426146	MAML3	F	Island	II	MAML3	-1.96E-06	2.36E-07	-8.290334945	2.97E-16
cg02222728	chr8	55371679	55371980	6.63E-05	0.008661012	SOX17	chr8	55371829	55371830	cg02222728	SOX17	F	Island	II	SOX17	-2.20E-06	1.06E-07	-20.80661601	1.82E-82
cg20969194	chr2	223163025	223163326	6.15E-06	0.008	PAX3	chr2	223163175	223163176	cg20969194	PAX3	R	Island	II	PAX3	-7.14E-06	1.44E-06	-4.972461291	7.56E-07
cg07416237	chr13	100547928	100548229	0	0.007811765	CLYBL	chr13	100548078	100548079	cg07416237	CLYBL	F	Island	I	CLYBL	-6.32E-06	5.80E-07	-10.90161206	1.83E-26
cg10601940	chr2	223159155	223159456	0.00010625	0.007493062	PAX3	chr2	223159305	223159306	cg10601940	PAX3	R	N_Shore	I	PAX3	-7.14E-06	1.44E-06	-4.972461291	7.56E-07
cg23363971	chr12	56415121	56415422	-6.19E-06	0.007466667	IKZF4	chr12	56415271	56415272	cg23363971	IKZF4	F	CpG_Ocean	I	IKZF4	-4.09E-06	5.45E-07	-7.49999736	1.23E-13
cg27547291	chr2	201450876	201451177	7.17E-05	0.007419512	AOX1	chr2	201451026	201451027	cg27547291	AOX1	R	Island	II	AOX1	-4.54E-07	4.23E-08	-10.74028196	9.09E-26
cg12883523	chr8	55372242	55372543	9.83E-05	0.007356808	SOX17	chr8	55372392	55372393	cg12883523	SOX17	F	Island	II	SOX17	-2.20E-06	1.06E-07	-20.80661601	1.82E-82
cg00680551	chr8	103135445	103135746	9.86E-05	0.007320336	NCALD	chr8	103135595	103135596	cg00680551	NCALD	F	N_Shore	II	NCALD	-1.81E-07	2.78E-08	-6.505753576	1.13E-10
cg23546474	chr2	223162883	223163184	6.19E-06	0.007155056	PAX3	chr2	223163033	223163034	cg23546474	PAX3	F	Island	I	PAX3	-7.14E-06	1.44E-06	-4.972461291	7.56E-07
cg26814075	chr7	127881148	127881449	-1.07E-07	0.00706714	LEP	chr7	127881298	127881299	cg26814075	LEP	R	Island	I	LEP	-1.36E-07	5.59E-09	-24.24888228	3.12E-106
cg00901320	chr12	129338384	129338685	3.18E-05	0.007025736	GLT1D1	chr12	129338534	129338535	cg00901320	GLT1D1	R	Island	II	GLT1D1	-1.21E-05	1.76E-06	-6.844278991	1.22E-11
cg05756220	chr11	30038535	30038836	5.88E-06	0.007	KCNA4	chr11	30038685	30038686	cg05756220	KCNA4	F	Island	II	KCNA4	-8.59E-06	1.72E-06	-5.005545492	6.39E-07
cg15873301	chr3	12045309	12045610	0	0.007	SYN2	chr3	12045459	12045460	cg15873301	SYN2	R	N_Shore	II	SYN2	-6.06E-06	2.22E-07	-27.28833804	3.11E-128
cg17563034	chr4	5021118	5021419	-6.10E-06	0.006933333	CYTL1	chr4	5021268	5021269	cg17563034	CYTL1	R	Island	I	CYTL1	-2.31E-06	1.97E-07	-11.72557885	3.73E-30
cg23241781	chr14	70653814	70654115	0	0.006857143	SLC8A3	chr14	70653964	70653965	cg23241781	SLC8A3	R	N_Shore	I	SLC8A3	-8.71E-06	1.88E-06	-4.620633677	4.23E-06
cg22142858	chr6	6004654	6004955	-1.22E-05	0.006857143	NRN1	chr6	6004804	6004805	cg22142858	NRN1	F	Island	II	NRN1	-6.89E-07	2.81E-08	-24.47199412	8.05E-108
cg22010052	chr5	115298554	115298855	6.54E-06	0.006666667	LVRN	chr5	115298704	115298705	cg22010052	LVRN	F	Island	I	LVRN	-4.58E-06	1.91E-07	-23.96812741	3.05E-104
cg02457680	chr1	154474989	154475290	-6.12E-06	0.006545455	TDRD10	chr1	154475139	154475140	cg02457680	TDRD10	F	Island	I	TDRD10	-1.23E-05	6.02E-07	-20.36536831	1.55E-79
cg00446413	chr7	153749056	153749357	-1.20E-05	0.0064	DPP6	chr7	153749206	153749207	cg00446413	DPP6	F	Island	II	DPP6	-1.35E-05	1.39E-06	-9.673327061	2.26E-21
cg15549927	chr7	153749606	153749907	5.85E-06	0.0064	DPP6	chr7	153749756	153749757	cg15549927	DPP6	F	Island	I	DPP6	-1.35E-05	1.39E-06	-9.673327061	2.26E-21
cg06462796	chr9	79634711	79635012	6.33E-06	0.006	FOXB2	chr9	79634861	79634862	cg06462796	FOXB2	R	Island	II	FOXB2	-0.000113618	2.56E-05	-4.445110349	9.59E-06
cg16620526	chr5	115297929	115298230	0	0.006	LVRN	chr5	115298079	115298080	cg16620526	LVRN	R	Island	I	LVRN	-4.58E-06	1.91E-07	-23.96812741	3.05E-104
cg18525486	chr3	62357026	62357327	-1.92E-05	0.005982363	FEZF2	chr3	62357176	62357177	cg18525486	FEZF2	R	Island	II	FEZF2	-1.26E-05	2.14E-06	-5.919148645	4.21E-09
cg07820868	chr1	119528488	119528789	-1.86E-05	0.005875	TBX15	chr1	119528638	119528639	cg07820868	TBX15	F	N_Shore	II	TBX15	-1.47E-06	7.90E-08	-18.57011321	6.04E-68
cg04467618	chr6	134210796	134211097	-1.23E-05	0.005666667	TCF21	chr6	134210946	134210947	cg04467618	TCF21	F	Island	II	TCF21	-2.70E-05	5.10E-06	-5.285424169	1.49E-07
cg01861913	chr3	61550419	61550720	1.24E-05	0.00556478	PTPRG	chr3	61550569	61550570	cg01861913	PTPRG	F	Island	II	PTPRG	-1.72E-06	1.34E-07	-12.78905224	3.18E-35
