DESeq2 analysis results,,,,,,,,,,
Transcript,Gene Symbol,Name,Entrez ID,baseMean,DESeq2 Log2 Fold Change,lfcSE,stat,pvalue,padj,Log2 Fold Change (Tumor/Non-malignant)
AP2A1.160,AP2A1,AP-2 complex subunit alpha-1 ,160,4263.88296,-0.062258254,0.047842713,-1.301311118,0.193151983,0.242676832,-0.223833264
AP2A2.161,AP2A2,AP-2 complex subunit alpha-2 ,161,4998.76024,0.2325267,0.046349965,5.016761094,0.000000525,0.00000168,0.052344197
AP1B1.162,AP1B1,AP-1 complex subunit beta-1 ,162,12127.75522,0.121433893,0.074720094,1.625183897,0.104123381,0.140401795,-0.052302698
AP2B1.163,AP2B1,AP-2 complex subunit beta ,163,10937.95382,-0.141719453,0.048566575,-2.918045041,0.003522335,0.006282728,-0.28629054
AP1G1.164,AP1G1,AP-1 complex subunit gamma-1 ,164,5425.80403,-0.055524924,0.073955165,-0.750791708,0.452778021,0.514654993,-0.209784579
AEBP1.165,AEBP1,Adipocyte enhancer-binding protein 1 ,165,13596.07688,-0.086869813,0.150085037,-0.578803955,0.562721462,0.620810933,-0.294510377
AES.166,AES,Amino-terminal enhancer of split ,166,26346.37754,-0.033261071,0.075067459,-0.443082411,0.657706127,0.708960287,-0.260060314
CRISP1.167,CRISP1,Cysteine-rich secretory protein 1 ,167,61.50567757,-5.457601994,0.521192804,-10.47136867,1.17E-25,5.02E-24,-9.57728334
AFG3L1.172,,,172,411.9834932,0.322007167,0.089741835,3.588150014,0.000333033,0.000700254,0.11208071
AFM.173,AFM,Afamin ,173,0.185215287,-1.046917927,0.546006869,-1.917407977,0.055186122,0.078972958,-1.5897986
AFP.174,AFP,Alpha-fetoprotein ,174,3.346255144,1.997286991,0.443457668,4.503895487,0.00000667,0.0000183,3.04059855
AGA.175,AGA,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase,175,1311.260917,0.221166578,0.076320047,2.89788313,0.003756906,0.006668176,0.014058963
ACAN.176,,,176,82.27775268,1.064505731,0.233562198,4.557697006,0.00000517,0.0000144,0.942524483
AGER.177,AGER,Advanced glycosylation end product-specific receptor ,177,115.3027987,0.369329876,0.171193653,2.157380661,0.030976017,0.046710642,0.138311954
AGL.178,AGL,Glycogen debranching enzyme ,178,2402.13379,-0.495551851,0.073852377,-6.710032496,1.95E-11,1.11E-10,-0.64466803
AGRP.181,AGRP,Agouti-related protein,181,0.672293195,0.120981482,0.351427956,0.344256851,0.730653131,0.774308459,-0.030581512
JAG1.182,JAG1,Protein jagged-1 ,182,6643.410551,0.151051546,0.138557542,1.090171955,0.275637405,0.332803809,0.033277256
AGT.183,AGT,Angiotensinogen ,183,1020.580737,0.50114923,0.257848603,1.943579387,0.051946193,0.074823483,0.402931249
AGTR1.185,AGTR1,Type-1 angiotensin II receptor ,185,841.1291382,1.094035039,0.250718853,4.363593022,0.0000128,0.0000335,0.971444014
AGTR2.186,AGTR2,Type-2 angiotensin II receptor ,186,0.203894034,-0.778545481,0.550613175,-1.413960865,0.157373393,0.202812787,-1.149226009
APLNR.187,APLNR,Apelin receptor ,187,199.3467494,0.357773969,0.184632725,1.937760321,0.052652471,0.075692625,0.185735865
AGXT.189,AGXT,Serine--pyruvate aminotransferase ,189,2.516180562,0.899392908,0.400591928,2.245159837,0.024757873,0.038050785,-0.42333986
NR0B1.190,NR0B1,Nuclear receptor subfamily 0 group B member 1 ,190,1.076846221,-0.445380893,0.367415047,-1.212201015,0.225435443,0.278589011,-0.671647043
AHCY.191,AHCY,Adenosylhomocysteinase ,191,13406.79524,0.402285998,0.072253055,5.567736842,2.58E-08,9.87E-08,0.155848765
AHR.196,AHR,Aryl hydrocarbon receptor ,196,1976.400558,-1.128565342,0.134020668,-8.420830611,3.74E-17,4.68E-16,-1.303122594
AHSG.197,AHSG,Alpha-2-HS-glycoprotein ,197,1.822556636,1.576341641,0.518091741,3.042591719,0.002345503,0.004313543,2.789373447
AIF1.199,AIF1,Allograft inflammatory factor 1 ,199,461.3928419,0.163366251,0.141879811,1.151441138,0.249550798,0.305158959,-0.148550773
AIM1.202,AIM1,Absent in melanoma 1 protein ,202,10208.90468,0.376966227,0.111236639,3.388867475,0.000701819,0.001407022,0.215062397
AK1.203,AK1,Adenylate kinase isoenzyme 1 ,203,1150.811551,-0.967895976,0.139412306,-6.942686784,3.85E-12,2.41E-11,-1.064357794
AK2.204,AK2,"Adenylate kinase 2, mitochondrial ",204,4495.539878,0.351706192,0.05502168,6.392138379,1.64E-10,8.32E-10,0.12199181
AK3L1.205,AK4,"Adenylate kinase 4, mitochondrial ",205,994.351308,0.214503901,0.10613673,2.021014777,0.043278235,0.063427001,0.024006261
AKT1.207,AKT1,RAC-alpha serine/threonine-protein kinase ,207,13558.95088,0.25187359,0.051086908,4.930296211,0.000000821,0.00000256,0.049868521
AKT2.208,AKT2,RAC-beta serine/threonine-protein kinase ,208,6864.243176,0.173539342,0.042759497,4.058498237,0.0000494,0.00011883,-0.011995532
ALAD.210,ALAD,Delta-aminolevulinic acid dehydratase ,210,3164.855763,-0.883752962,0.091459664,-9.662761999,4.34E-22,1.14E-20,-1.046857227
ALAS1.211,ALAS1,"5-aminolevulinate synthase, nonspecific, mitochondrial ",211,2616.488651,-0.251051404,0.069032863,-3.636694096,0.00027616,0.000587972,-0.36929958
ALAS2.212,ALAS2,"5-aminolevulinate synthase, erythroid-specific, mitochondrial ",212,3.064329961,0.676781892,0.275634831,2.455356928,0.014074477,0.022652258,0.572866309
ALB.213,ALB,Serum albumin,213,175.9419049,3.586324376,0.333043133,10.76834807,4.86E-27,2.52E-25,3.80622851
ALCAM.214,ALCAM,CD166 antigen ,214,11249.13536,0.642659134,0.115237241,5.576835474,2.45E-08,9.39E-08,0.432567069
ABCD1.215,ABCD1,ATP-binding cassette sub-family D member 1 ,215,963.239876,-0.238030092,0.085281983,-2.791094723,0.00525301,0.009108963,-0.403933544
ALDH1A1.216,ALDH1A1,Retinal dehydrogenase 1 ,216,5132.190045,-0.74111006,0.221789716,-3.341498755,0.000833274,0.001651355,-0.731318216
ALDH2.217,ALDH2,"Aldehyde dehydrogenase, mitochondrial ",217,7990.153228,-0.782190012,0.140939383,-5.549832821,2.86E-08,0.000000109,-1.00341845
ALDH3A1.218,ALDH3A1,"Aldehyde dehydrogenase, dimeric NADP-preferring ",218,74.59057569,-1.832734902,0.222481369,-8.237700589,1.76E-16,2E-15,-2.065273857
ALDH1B1.219,ALDH1B1,"Aldehyde dehydrogenase X, mitochondrial ",219,3623.859384,-0.562776484,0.102595755,-5.485377881,4.13E-08,0.000000154,-0.752082074
ALDH1A3.220,ALDH1A3,Aldehyde dehydrogenase family 1 member A3 ,220,32302.16639,1.046736133,0.140671583,7.440992054,9.99E-14,7.81E-13,0.848480249
ALDH3B1.221,ALDH3B1,Aldehyde dehydrogenase family 3 member B1 ,221,279.8108274,-0.812228652,0.122371269,-6.637412981,3.19E-11,1.77E-10,-1.013812411
ALDH3B2.222,ALDH3B2,Aldehyde dehydrogenase family 3 member B2 ,222,2230.919057,1.143239711,0.220211206,5.191560103,0.000000209,0.000000704,1.013127075
ALDH9A1.223,ALDH9A1,4-trimethylaminobutyraldehyde dehydrogenase ,223,7674.138022,-0.17063326,0.064873697,-2.630237952,0.008532512,0.01423822,-0.367116477
ALDH3A2.224,ALDH3A2,Fatty aldehyde dehydrogenase ,224,8006.901987,-0.433986542,0.088506143,-4.903462388,0.000000942,0.00000291,-0.670021965
ABCD2.225,ABCD2,ATP-binding cassette sub-family D member 2 ,225,27.72234903,-1.406760053,0.191033047,-7.363961757,1.79E-13,1.35E-12,-1.604644867
ALDOA.226,ALDOA,Fructose-bisphosphate aldolase A ,226,41494.6999,-0.128176739,0.07672488,-1.670602006,0.094800316,0.129030953,-0.319399213
ALDOB.229,ALDOB,Fructose-bisphosphate aldolase B ,229,7.838011584,0.613131636,0.241854766,2.535123236,0.011240777,0.018387009,0.923606871
ALDOC.230,ALDOC,Fructose-bisphosphate aldolase C ,230,1025.769315,-0.638547119,0.10351753,-6.168492605,6.89E-10,3.24E-09,-0.884040082
AKR1B1.231,AKR1B1,Aldose reductase ,231,4618.714322,-3.809921868,0.213385391,-17.85465182,2.66E-71,4.24E-68,-3.826005194
ALK.238,ALK,ALK tyrosine kinase receptor ,238,5.684166295,-0.116317182,0.214321808,-0.542722104,0.587321153,0.643939343,-0.293831037
ALOX12.239,ALOX12,"Arachidonate 12-lipoxygenase, 12S-type ",239,11.59047718,0.154223631,0.11961606,1.28932211,0.197286128,0.247432218,-0.073141018
ALOX5.240,ALOX5,Arachidonate 5-lipoxygenase ,240,971.0441395,-0.251240357,0.120309331,-2.088286542,0.036771995,0.054598592,-0.456941162
ALOX5AP.241,ALOX5AP,Arachidonate 5-lipoxygenase-activating protein ,241,248.4598061,-0.409463119,0.136707992,-2.995165933,0.002742956,0.004981747,-0.659308595
ALOX12B.242,ALOX12B,"Arachidonate 12-lipoxygenase, 12R-type ",242,10.3292404,0.182396183,0.185490958,0.983315764,0.325452054,0.384718395,-0.037282405
ANXA8L2.244,ANXA8L2,Annexin A8-like protein 2,244,161.8310087,-1.530314451,0.191442535,-7.993596878,1.31E-15,1.32E-14,-1.74872963
ALOX12P2.245,,,245,47.53845861,-0.313221971,0.26345872,-1.188884433,0.234485147,0.288413866,-0.651543735
ALOX15.246,ALOX15,Arachidonate 15-lipoxygenase ,246,264.2100299,1.786870421,0.33258049,5.372745778,7.75E-08,0.000000278,1.898287012
ALOX15B.247,ALOX15B,Arachidonate 15-lipoxygenase B ,247,14361.20581,0.415512247,0.312626788,1.329099948,0.183814998,0.232595641,0.145697976
ALPI.248,ALPI,Intestinal-type alkaline phosphatase ,248,0.072985585,-0.280832577,0.446784653,-0.628563614,0.529634787,NA,0.551213709
ALPL.249,ALPL,"Alkaline phosphatase, tissue-nonspecific isozyme ",249,585.9829168,0.329176611,0.185786134,1.771803972,0.076427103,0.106261391,-0.200072555
ALPP.250,ALPP,"Alkaline phosphatase, placental type ",250,0.815959011,-0.501116891,0.388728403,-1.289118282,0.197356969,0.247488614,-0.822997776
ALPPL2.251,ALPPL2,"Alkaline phosphatase, placental-like ",251,0.195297395,1.022189202,0.559898872,1.825667551,0.067900354,0.09543966,2.331900681
ALX3.257,ALX3,Homeobox protein aristaless-like 3 ,257,54.74445635,0.2318032,0.110286478,2.10182793,0.035568352,0.052955293,0.090036858
AMBN.258,AMBN,Ameloblastin,258,0.039073007,0.151961237,0.527326731,0.288172831,0.773214445,NA,9.979627571
