"id","species","taxonId","ensembl","entrez","name","fullname","synonym","signature","chromStart","chromEnd","chromStrand","chromName","band","goTerms","function","goFunctions","goLocalizations","cerebralLocalization","nrIntxsValidated","nrIntxsPredicted","transcripts","humanOrthologs","mouseOrthologs","bovineOrthologs","lastModified"
"10411","Homo sapiens","9606","ENSG00000163145","114905","C1QTNF7","C1q and tumor necrosis factor related protein 7 ","","C1QTNF7|IDBG-10411|ENSG00000163145|114905","15339818","15446166","1","4","p15.32","GO:0005515|protein binding|molecular_function#GO:0005581|collagen trimer|cellular_component#GO:0005615|extracellular space|cellular_component#GO:0051260|protein homooligomerization|biological_process"," protein binding","GO:0005515: protein binding","GO:0005515: protein binding","Extracellular","1","0","10413|10415|234789|363134|363135","","C1qtnf7|IDBG-160924|ENSMUSG00000061535|109323","BT.19274|IDBG-643966|ENSBTAG00000010343|540131","2017-02-20"
"10614","Homo sapiens","9606","ENSG00000109743","683","BST1","bone marrow stromal cell antigen 1 ","CD157","BST1|IDBG-10614|ENSG00000109743|683","15702950","15738313","1","4","p15.32","GO:0003953|NAD+ nucleosidase activity|molecular_function#GO:0005886|plasma membrane|cellular_component#GO:0006959|humoral immune response|biological_process#GO:0007275|multicellular organismal development|biological_process#GO:0008152|metabolic process|biological_process#GO:0016740|transferase activity|molecular_function#GO:0019898|extrinsic component of membrane|cellular_component#GO:0031225|anchored component of membrane|cellular_component#GO:0050135|NAD(P)+ nucleosidase activity|molecular_function#GO:0070062|extracellular vesicular exosome|cellular_component"," NAD(P)+ nucleosidase activity","GO:0003953: NAD+ nucleosidase activity#GO:0016740: transferase activity#GO:0050135: NAD(P)+ nucleosidase activity","GO:0003953: NAD+ nucleosidase activity,GO:0016740: transferase activity,GO:0050135: NAD(P)+ nucleosidase activity","Plasma membrane","4","0","10618|10620|482038|480208|481291","","Bst1|IDBG-161385|ENSMUSG00000029082|12182","BST1|IDBG-643978|ENSBTAG00000006156|616757","2017-02-20"
"10668","Homo sapiens","9606","ENSG00000004468","952","CD38","CD38 molecule ","ADPRC 1|T10","CD38|IDBG-10668|ENSG00000004468|952","15778275","15853230","1","4","p15.32","GO:0001666|response to hypoxia|biological_process#GO:0003953|NAD+ nucleosidase activity|molecular_function#GO:0005634|nucleus|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0007165|signal transduction|biological_process#GO:0007204|positive regulation of cytosolic calcium ion concentration|biological_process#GO:0007565|female pregnancy|biological_process#GO:0008152|metabolic process|biological_process#GO:0009725|response to hormone|biological_process#GO:0009986|cell surface|cellular_component#GO:0016020|membrane|cellular_component#GO:0016021|integral component of membrane|cellular_component#GO:0016740|transferase activity|molecular_function#GO:0016798|hydrolase activity, acting on glycosyl bonds|molecular_function#GO:0016849|phosphorus-oxygen lyase activity|molecular_function#GO:0030307|positive regulation of cell growth|biological_process#GO:0030890|positive regulation of B cell proliferation|biological_process#GO:0032024|positive regulation of insulin secretion|biological_process#GO:0032355|response to estradiol|biological_process#GO:0032526|response to retinoic acid|biological_process#GO:0032570|response to progesterone|biological_process#GO:0033194|response to hydroperoxide|biological_process#GO:0034097|response to cytokine|biological_process#GO:0042493|response to drug|biological_process#GO:0043066|negative regulation of apoptotic process|biological_process#GO:0043231|intracellular membrane-bounded organelle|cellular_component#GO:0045779|negative regulation of bone resorption|biological_process#GO:0045892|negative regulation of transcription, DNA-templated|biological_process#GO:0045893|positive regulation of transcription, DNA-templated|biological_process#GO:0045907|positive regulation of vasoconstriction|biological_process#GO:0050135|NAD(P)+ nucleosidase activity|molecular_function#GO:0050853|B cell receptor signaling pathway|biological_process#GO:0060292|long term synaptic depression|biological_process#GO:0070555|response to interleukin-1|biological_process#GO:0097190|apoptotic signaling pathway|biological_process"," hydrolase activity","GO:0003953: NAD+ nucleosidase activity#GO:0016740: transferase activity#GO:0016798: hydrolase activity, acting on glycosyl bonds#GO:0016849: phosphorus-oxygen lyase activity#GO:0050135: NAD(P)+ nucleosidase activity","GO:0003953: NAD+ nucleosidase activity,GO:0016740: transferase activity,GO:0016798: hydrolase activity, acting on glycosyl bonds,GO:0016849: phosphorus-oxygen lyase activity,GO:0050135: NAD(P)+ nucleosidase activity","Nucleus","10","1","10672|476344|476460","","Cd38|IDBG-161475|ENSMUSG00000029084|12494","CD38|IDBG-643982|ENSBTAG00000013569|327677","2017-02-20"
"10779","Homo sapiens","9606","ENSG00000007062","8842","PROM1","prominin 1 ","AC133|CD133|CORD12|MCDR2|PROML1|RP41|STGD4","PROM1|IDBG-10779|ENSG00000007062|8842","15963076","16084378","-1","4","p15.32","GO:0001750|photoreceptor outer segment|cellular_component#GO:0005515|protein binding|molecular_function#GO:0005615|extracellular space|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0005887|integral component of plasma membrane|cellular_component#GO:0005902|microvillus|cellular_component#GO:0005903|brush border|cellular_component#GO:0009986|cell surface|cellular_component#GO:0010842|retina layer formation|biological_process#GO:0016021|integral component of membrane|cellular_component#GO:0016324|apical plasma membrane|cellular_component#GO:0031528|microvillus membrane|cellular_component#GO:0032420|stereocilium|cellular_component#GO:0042622|photoreceptor outer segment membrane|cellular_component#GO:0042805|actinin binding|molecular_function#GO:0042995|cell projection|cellular_component#GO:0045296|cadherin binding|molecular_function#GO:0045494|photoreceptor cell maintenance|biological_process#GO:0060042|retina morphogenesis in camera-type eye|biological_process#GO:0060219|camera-type eye photoreceptor cell differentiation|biological_process#GO:0070062|extracellular vesicular exosome|cellular_component#GO:0072112|glomerular visceral epithelial cell differentiation|biological_process#GO:0072139|glomerular parietal epithelial cell differentiation|biological_process#GO:2000768|positive regulation of nephron tubule epithelial cell differentiation|biological_process"," cadherin binding","GO:0005515: protein binding#GO:0042805: actinin binding#GO:0045296: cadherin binding","GO:0005515: protein binding,GO:0042805: actinin binding,GO:0045296: cadherin binding","Extracellular","6","1","363664|476424|479831|481331|484181|474585|477189|479777|480497|478001|593138|599460","","Prom1|IDBG-161637|ENSMUSG00000029086|19126","PROM1|IDBG-643990|ENSBTAG00000013736|618054","2017-02-20"
"10931","Homo sapiens","9606","ENSG00000120910","5533","PPP3CC","protein phosphatase 3, catalytic subunit, gamma isozyme ","CALNA3|CNA3|PP2Bgamma","PPP3CC|IDBG-10931|ENSG00000120910|5533","22440819","22541142","1","8","p21.3","GO:0004721|phosphoprotein phosphatase activity|molecular_function#GO:0005516|calmodulin binding|molecular_function#GO:0005829|cytosol|cellular_component#GO:0006915|apoptotic process|biological_process#GO:0008152|metabolic process|biological_process#GO:0016311|dephosphorylation|biological_process#GO:0016787|hydrolase activity|molecular_function#GO:0046872|metal ion binding|molecular_function#GO:0070062|extracellular vesicular exosome|cellular_component#GO:0097193|intrinsic apoptotic signaling pathway|biological_process#GO:1900740|positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway|biological_process"," metal ion binding","GO:0004721: phosphoprotein phosphatase activity#GO:0005516: calmodulin binding#GO:0016787: hydrolase activity#GO:0046872: metal ion binding","GO:0004721: phosphoprotein phosphatase activity,GO:0005516: calmodulin binding,GO:0016787: hydrolase activity,GO:0046872: metal ion binding","Cytoplasm","12","1","10933|10935|234601|481880|474216|476835|477873|475702","","Ppp3cc|IDBG-178202|ENSMUSG00000022092|19057","PPP3CC|IDBG-634817|ENSBTAG00000020133|100849885,533527","2017-02-20"
"11328","Homo sapiens","9606","ENSG00000006327","51330","TNFRSF12A","tumor necrosis factor receptor superfamily, member 12A ","","TNFRSF12A|IDBG-11328|ENSG00000006327|51330","3018445","3022383","1","16","p13.3","GO:0001525|angiogenesis|biological_process#GO:0001726|ruffle|cellular_component#GO:0005515|protein binding|molecular_function#GO:0005886|plasma membrane|cellular_component#GO:0006915|apoptotic process|biological_process#GO:0006931|substrate-dependent cell migration, cell attachment to substrate|biological_process#GO:0007155|cell adhesion|biological_process#GO:0009986|cell surface|cellular_component#GO:0016021|integral component of membrane|cellular_component#GO:0043065|positive regulation of apoptotic process|biological_process#GO:0045087|innate immune response|biological_process#GO:0045765|regulation of angiogenesis|biological_process#GO:0045773|positive regulation of axon extension|biological_process#GO:0061041|regulation of wound healing|biological_process#GO:0097191|extrinsic apoptotic signaling pathway|biological_process#GO:2001238|positive regulation of extrinsic apoptotic signaling pathway|biological_process"," protein binding","GO:0005515: protein binding","GO:0005515: protein binding","Cell surface","9","0","11330|11332|750461|750890|751488|750432","","Tnfrsf12a|IDBG-143687|ENSMUSG00000023905|27279","BT.20111|IDBG-635818|ENSBTAG00000012082|617439","2017-02-20"
"11376","Homo sapiens","9606","ENSG00000120889","8795","TNFRSF10B","tumor necrosis factor receptor superfamily, member 10b ","CD262|DR5|KILLER|KILLER/DR5|TRAIL-R2|TRAILR2|TRICK2|TRICK2A|TRICK2B|TRICKB|ZTNFR9","TNFRSF10B|IDBG-11376|ENSG00000120889|8795","23020133","23069179","-1","8","p21.3","GO:0004872|receptor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005886|plasma membrane|cellular_component#GO:0006915|apoptotic process|biological_process#GO:0006919|activation of cysteine-type endopeptidase activity involved in apoptotic process|biological_process#GO:0007165|signal transduction|biological_process#GO:0007166|cell surface receptor signaling pathway|biological_process#GO:0007250|activation of NF-kappaB-inducing kinase activity|biological_process#GO:0008625|extrinsic apoptotic signaling pathway via death domain receptors|biological_process#GO:0016021|integral component of membrane|cellular_component#GO:0034976|response to endoplasmic reticulum stress|biological_process#GO:0042981|regulation of apoptotic process|biological_process#GO:0043123|positive regulation of I-kappaB kinase/NF-kappaB signaling|biological_process#GO:0045569|TRAIL binding|molecular_function#GO:0070059|intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress|biological_process#GO:0071260|cellular response to mechanical stimulus|biological_process#GO:0097190|apoptotic signaling pathway|biological_process#GO:2001239|regulation of extrinsic apoptotic signaling pathway in absence of ligand|biological_process"," TRAIL binding","GO:0004872: receptor activity#GO:0005515: protein binding#GO:0045569: TRAIL binding","GO:0004872: receptor activity,GO:0005515: protein binding,GO:0045569: TRAIL binding","Plasma membrane","53","0","11378|11382|480339","","","","2017-02-20"
"11512","Homo sapiens","9606","ENSG00000008517","9235","IL32","interleukin 32 ","IL-32alpha|IL-32beta|IL-32delta|IL-32gamma|NK4|TAIF|TAIFa|TAIFb|TAIFc|TAIFd","IL32|IDBG-11512|ENSG00000008517|9235","3065297","3082192","1","16","p13.3","GO:0005125|cytokine activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005615|extracellular space|cellular_component#GO:0006952|defense response|biological_process#GO:0006955|immune response|biological_process#GO:0007155|cell adhesion|biological_process#GO:0016020|membrane|cellular_component#GO:0045087|innate immune response|biological_process"," protein binding","GO:0005125: cytokine activity#GO:0005515: protein binding","GO:0005125: cytokine activity,GO:0005515: protein binding","Extracellular","20","0","11514|11516|11520|236541|236543|366296|366306|597164|601162|583853|592701|596436|584422|591082|593472|591345|586290|603155|588102|596341|599247|596428|594866|595744|587319|598465|597486|596517|602611|809875","","","","2017-02-20"
"11572","Homo sapiens","9606","ENSG00000173535","8794","TNFRSF10C","tumor necrosis factor receptor superfamily, member 10c, decoy without an intracellular domain ","CD263|DCR1|DCR1-TNFR|LIT|TRAIL-R3|TRAILR3|TRID","TNFRSF10C|IDBG-11572|ENSG00000173535|8794","23084355","23117437","1","8","p21.3","GO:0004888|transmembrane signaling receptor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005887|integral component of plasma membrane|cellular_component#GO:0006915|apoptotic process|biological_process#GO:0007165|signal transduction|biological_process#GO:0031225|anchored component of membrane|cellular_component#GO:0045569|TRAIL binding|molecular_function"," TRAIL binding","GO:0004888: transmembrane signaling receptor activity#GO:0005515: protein binding#GO:0045569: TRAIL binding","GO:0004888: transmembrane signaling receptor activity,GO:0005515: protein binding,GO:0045569: TRAIL binding","Plasma membrane","11","0","11574|234771|483948","","","","2017-02-20"
"11632","Homo sapiens","9606","ENSG00000173530","8793","TNFRSF10D","tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain ","CD264|DCR2|TRAIL-R4|TRAILR4|TRUNDD","TNFRSF10D|IDBG-11632|ENSG00000173530|8793","23135588","23164030","-1","8","p21.3","GO:0004888|transmembrane signaling receptor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0006915|apoptotic process|biological_process#GO:0007165|signal transduction|biological_process#GO:0016021|integral component of membrane|cellular_component#GO:0043066|negative regulation of apoptotic process|biological_process#GO:0045569|TRAIL binding|molecular_function"," TRAIL binding","GO:0004888: transmembrane signaling receptor activity#GO:0005515: protein binding#GO:0045569: TRAIL binding","GO:0004888: transmembrane signaling receptor activity,GO:0005515: protein binding,GO:0045569: TRAIL binding","Plasma membrane","7","0","11636","","","","2017-02-20"
"11715","Homo sapiens","9606","ENSG00000104689","8797","TNFRSF10A","tumor necrosis factor receptor superfamily, member 10a ","APO2|CD261|DR4|TRAILR-1|TRAILR1","TNFRSF10A|IDBG-11715|ENSG00000104689|8797","23190452","23225126","-1","8","p21.3","GO:0002020|protease binding|molecular_function#GO:0004872|receptor activity|molecular_function#GO:0005035|death receptor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0006915|apoptotic process|biological_process#GO:0007165|signal transduction|biological_process#GO:0007250|activation of NF-kappaB-inducing kinase activity|biological_process#GO:0008134|transcription factor binding|molecular_function#GO:0008625|extrinsic apoptotic signaling pathway via death domain receptors|biological_process#GO:0016021|integral component of membrane|cellular_component#GO:0036462|TRAIL-activated apoptotic signaling pathway|biological_process#GO:0045569|TRAIL binding|molecular_function#GO:0071260|cellular response to mechanical stimulus|biological_process#GO:0097191|extrinsic apoptotic signaling pathway|biological_process"," TRAIL binding","GO:0002020: protease binding#GO:0004872: receptor activity#GO:0005035: death receptor activity#GO:0005515: protein binding#GO:0008134: transcription factor binding#GO:0045569: TRAIL binding","GO:0002020: protease binding,GO:0004872: receptor activity,GO:0005035: death receptor activity,GO:0005515: protein binding,GO:0008134: transcription factor binding,GO:0045569: TRAIL binding","Plasma membrane","23","0","11719|477571|811394","","","","2017-02-20"
"11874","Homo sapiens","9606","ENSG00000109610","6649","SOD3","superoxide dismutase 3, extracellular ","EC-SOD","SOD3|IDBG-11874|ENSG00000109610|6649","24789912","24800842","1","4","p15.2","GO:0001666|response to hypoxia|biological_process#GO:0004784|superoxide dismutase activity|molecular_function#GO:0005507|copper ion binding|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005615|extracellular space|cellular_component#GO:0005634|nucleus|cellular_component#GO:0005737|cytoplasm|cellular_component#GO:0005796|Golgi lumen|cellular_component#GO:0005802|trans-Golgi network|cellular_component#GO:0006801|superoxide metabolic process|biological_process#GO:0006979|response to oxidative stress|biological_process#GO:0008201|heparin binding|molecular_function#GO:0008270|zinc ion binding|molecular_function#GO:0019430|removal of superoxide radicals|biological_process#GO:0031012|extracellular matrix|cellular_component#GO:0046688|response to copper ion|biological_process#GO:0046872|metal ion binding|molecular_function#GO:0055114|oxidation-reduction process|biological_process#GO:0070062|extracellular vesicular exosome|cellular_component"," metal ion binding","GO:0004784: superoxide dismutase activity#GO:0005507: copper ion binding#GO:0005515: protein binding#GO:0008201: heparin binding#GO:0008270: zinc ion binding#GO:0046872: metal ion binding","GO:0004784: superoxide dismutase activity,GO:0005507: copper ion binding,GO:0005515: protein binding,GO:0008201: heparin binding,GO:0008270: zinc ion binding,GO:0046872: metal ion binding","Nucleus","0","1","11878|712719","","Sod3|IDBG-163718|ENSMUSG00000072941|20657","ECSOD|IDBG-641339|ENSBTAG00000013980|532481","2017-02-20"
"12353","Homo sapiens","9606","ENSG00000172270","682","BSG","basigin (Ok blood group) ","5F7|CD147|EMMPRIN|M6|OK|TCSF","BSG|IDBG-12353|ENSG00000172270|682","571309","583493","1","19","p13.3","GO:0000139|Golgi membrane|cellular_component#GO:0002080|acrosomal membrane|cellular_component#GO:0005515|protein binding|molecular_function#GO:0005537|mannose binding|molecular_function#GO:0005739|mitochondrion|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0005887|integral component of plasma membrane|cellular_component#GO:0006090|pyruvate metabolic process|biological_process#GO:0007166|cell surface receptor signaling pathway|biological_process#GO:0007566|embryo implantation|biological_process#GO:0007596|blood coagulation|biological_process#GO:0016020|membrane|cellular_component#GO:0022617|extracellular matrix disassembly|biological_process#GO:0030198|extracellular matrix organization|biological_process#GO:0042383|sarcolemma|cellular_component#GO:0042470|melanosome|cellular_component#GO:0042475|odontogenesis of dentin-containing tooth|biological_process#GO:0043434|response to peptide hormone|biological_process#GO:0044237|cellular metabolic process|biological_process#GO:0044281|small molecule metabolic process|biological_process#GO:0045121|membrane raft|cellular_component#GO:0046689|response to mercury ion|biological_process#GO:0046697|decidualization|biological_process#GO:0050900|leukocyte migration|biological_process#GO:0051591|response to cAMP|biological_process#GO:0070062|extracellular vesicular exosome|cellular_component#GO:0072661|protein targeting to plasma membrane|biological_process"," mannose binding","GO:0005515: protein binding#GO:0005537: mannose binding","GO:0005515: protein binding,GO:0005537: mannose binding","Plasma membrane","35","0","12355|12357|12359|813545|813561|761836|813559|813555|813556|813557|813558","","Bsg|IDBG-170502|ENSMUSG00000023175|12215","BSG|IDBG-645483|ENSBTAG00000016648|508716","2017-02-20"
"12497","Homo sapiens","9606","ENSG00000197540","3004","GZMM","granzyme M (lymphocyte met-ase 1) ","LMET1|MET1","GZMM|IDBG-12497|ENSG00000197540|3004","544034","549924","1","19","p13.3","GO:0003824|catalytic activity|molecular_function#GO:0004175|endopeptidase activity|molecular_function#GO:0004252|serine-type endopeptidase activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0006508|proteolysis|biological_process#GO:0006915|apoptotic process|biological_process#GO:0008236|serine-type peptidase activity|molecular_function#GO:0016020|membrane|cellular_component#GO:0019835|cytolysis|biological_process#GO:0045087|innate immune response|biological_process"," serine-type peptidase activity","GO:0003824: catalytic activity#GO:0004175: endopeptidase activity#GO:0004252: serine-type endopeptidase activity#GO:0005515: protein binding#GO:0008236: serine-type peptidase activity","GO:0003824: catalytic activity,GO:0004175: endopeptidase activity,GO:0004252: serine-type endopeptidase activity,GO:0005515: protein binding,GO:0008236: serine-type peptidase activity","Extracellular","18","0","12499|810861","","Gzmm|IDBG-170467|ENSMUSG00000054206|16904","BT.31474|IDBG-645482|ENSBTAG00000002100|512272","2017-02-20"
"13023","Homo sapiens","9606","ENSG00000156127","10538","BATF","basic leucine zipper transcription factor, ATF-like ","B-ATF|BATF1|SFA-2|SFA2","BATF|IDBG-13023|ENSG00000156127|10538","75522425","75547015","1","14","q24.3","GO:0001816|cytokine production|biological_process#GO:0002320|lymphoid progenitor cell differentiation|biological_process#GO:0003677|DNA binding|molecular_function#GO:0003700|sequence-specific DNA binding transcription factor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005634|nucleus|cellular_component#GO:0005737|cytoplasm|cellular_component#GO:0006351|transcription, DNA-templated|biological_process#GO:0006355|regulation of transcription, DNA-templated|biological_process#GO:0006974|cellular response to DNA damage stimulus|biological_process#GO:0030330|DNA damage response, signal transduction by p53 class mediator|biological_process#GO:0042832|defense response to protozoan|biological_process#GO:0043011|myeloid dendritic cell differentiation|biological_process#GO:0043565|sequence-specific DNA binding|molecular_function#GO:0045064|T-helper 2 cell differentiation|biological_process#GO:0045190|isotype switching|biological_process#GO:0060218|hematopoietic stem cell differentiation|biological_process#GO:0072539|T-helper 17 cell differentiation|biological_process#GO:0072540|T-helper 17 cell lineage commitment|biological_process"," sequence-specific DNA binding","GO:0003677: DNA binding#GO:0003700: sequence-specific DNA binding transcription factor activity#GO:0005515: protein binding#GO:0043565: sequence-specific DNA binding","GO:0003677: DNA binding,GO:0003700: sequence-specific DNA binding transcription factor activity,GO:0005515: protein binding,GO:0043565: sequence-specific DNA binding","Nucleus","30","14","13025|603128","","Batf|IDBG-158624|ENSMUSG00000034266|53314","BATF|IDBG-646871|ENSBTAG00000025405|617628","2017-02-20"
"13129","Homo sapiens","9606","ENSG00000197766","1675","CFD","complement factor D (adipsin) ","ADIPSIN|ADN|DF|PFD","CFD|IDBG-13129|ENSG00000197766|1675","859643","863630","1","19","p13.3","GO:0002576|platelet degranulation|biological_process#GO:0003824|catalytic activity|molecular_function#GO:0004252|serine-type endopeptidase activity|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005615|extracellular space|cellular_component#GO:0006508|proteolysis|biological_process#GO:0006956|complement activation|biological_process#GO:0006957|complement activation, alternative pathway|biological_process#GO:0007596|blood coagulation|biological_process#GO:0008236|serine-type peptidase activity|molecular_function#GO:0030168|platelet activation|biological_process#GO:0031093|platelet alpha granule lumen|cellular_component#GO:0045087|innate immune response|biological_process#GO:0070062|extracellular vesicular exosome|cellular_component"," serine-type peptidase activity","GO:0003824: catalytic activity#GO:0004252: serine-type endopeptidase activity#GO:0008236: serine-type peptidase activity","GO:0003824: catalytic activity,GO:0004252: serine-type endopeptidase activity,GO:0008236: serine-type peptidase activity","Extracellular","4","0","13131|761976","","Cfd|IDBG-171424|ENSMUSG00000061780|11537","","2017-02-20"
"13308","Homo sapiens","9606","ENSG00000134121","10752","CHL1","cell adhesion molecule with homology to L1CAM (close homolog of L1) ","CALL|L1CAM2","CHL1|IDBG-13308|ENSG00000134121|10752","196596","409417","1","3","p26.3","GO:0001764|neuron migration|biological_process#GO:0002020|protease binding|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005578|proteinaceous extracellular matrix|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0007155|cell adhesion|biological_process#GO:0007165|signal transduction|biological_process#GO:0007411|axon guidance|biological_process#GO:0008344|adult locomotory behavior|biological_process#GO:0016021|integral component of membrane|cellular_component#GO:0030425|dendrite|cellular_component#GO:0031103|axon regeneration|biological_process#GO:0031175|neuron projection development|biological_process#GO:0035640|exploration behavior|biological_process#GO:0043524|negative regulation of neuron apoptotic process|biological_process#GO:0045177|apical part of cell|cellular_component#GO:0050890|cognition|biological_process"," protein binding","GO:0002020: protease binding#GO:0005515: protein binding","GO:0002020: protease binding,GO:0005515: protein binding","Extracellular","0","2","13310|235244|360621|360628|360629|360630|360631|360633|807040","","Chl1|IDBG-173444|ENSMUSG00000030077|12661","CHL1|IDBG-644887|ENSBTAG00000002471|504415","2017-02-20"
"13590","Homo sapiens","9606","ENSG00000091181","3568","IL5RA","interleukin 5 receptor, alpha ","CD125|CDw125|HSIL5R3|IL5R","IL5RA|IDBG-13590|ENSG00000091181|3568","3066326","3126613","-1","3","p26.2","GO:0002437|inflammatory response to antigenic stimulus|biological_process#GO:0004896|cytokine receptor activity|molecular_function#GO:0004914|interleukin-5 receptor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005615|extracellular space|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0007165|signal transduction|biological_process#GO:0008283|cell proliferation|biological_process#GO:0016020|membrane|cellular_component#GO:0016021|integral component of membrane|cellular_component#GO:0019221|cytokine-mediated signaling pathway|biological_process#GO:0032674|regulation of interleukin-5 production|biological_process#GO:0038043|interleukin-5-mediated signaling pathway|biological_process#GO:0071310|cellular response to organic substance|biological_process"," protein binding","GO:0004896: cytokine receptor activity#GO:0004914: interleukin-5 receptor activity#GO:0005515: protein binding","GO:0004896: cytokine receptor activity,GO:0004914: interleukin-5 receptor activity,GO:0005515: protein binding","Extracellular","12","0","13592|13598|13600|360715|360717|360722|360725|360727|360728|360730","","Il5ra|IDBG-173890|ENSMUSG00000005364|16192","IL5RA|IDBG-644842|ENSBTAG00000000273|615848","2017-02-20"
"13612","Homo sapiens","9606","ENSG00000010278","928","CD9","CD9 molecule ","BTCC-1|DRAP-27|MIC3|MRP-1|TSPAN-29|TSPAN29","CD9|IDBG-13612|ENSG00000010278|928","6199715","6238271","1","12","p13.31","GO:0002576|platelet degranulation|biological_process#GO:0005178|integrin binding|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005615|extracellular space|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0005887|integral component of plasma membrane|cellular_component#GO:0006928|cellular component movement|biological_process#GO:0007155|cell adhesion|biological_process#GO:0007338|single fertilization|biological_process#GO:0007342|fusion of sperm to egg plasma membrane|biological_process#GO:0007420|brain development|biological_process#GO:0007596|blood coagulation|biological_process#GO:0008285|negative regulation of cell proliferation|biological_process#GO:0009414|response to water deprivation|biological_process#GO:0009897|external side of plasma membrane|cellular_component#GO:0009986|cell surface|cellular_component#GO:0014003|oligodendrocyte development|biological_process#GO:0016021|integral component of membrane|cellular_component#GO:0016324|apical plasma membrane|cellular_component#GO:0030168|platelet activation|biological_process#GO:0030913|paranodal junction assembly|biological_process#GO:0031092|platelet alpha granule membrane|cellular_component#GO:0032504|multicellular organism reproduction|biological_process#GO:0070062|extracellular vesicular exosome|cellular_component"," protein binding","GO:0005178: integrin binding#GO:0005515: protein binding","GO:0005178: integrin binding,GO:0005515: protein binding","Extracellular","38","1","13614|13616|13618|13620|602442|811430|811432","","Cd9|IDBG-189938|ENSMUSG00000030342|12527","CD9|IDBG-640522|ENSBTAG00000014764|280746","2017-02-20"
"13627","Homo sapiens","9606","ENSG00000174125","7096","TLR1","toll-like receptor 1 ","CD281|rsc786|TIL|TIL. LPRS5","TLR1|IDBG-13627|ENSG00000174125|7096","38790677","38856817","-1","4","p14","GO:0002224|toll-like receptor signaling pathway|biological_process#GO:0002755|MyD88-dependent toll-like receptor signaling pathway|biological_process#GO:0004872|receptor activity|molecular_function#GO:0004888|transmembrane signaling receptor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005886|plasma membrane|cellular_component#GO:0005887|integral component of plasma membrane|cellular_component#GO:0006952|defense response|biological_process#GO:0006954|inflammatory response|biological_process#GO:0006955|immune response|biological_process#GO:0007165|signal transduction|biological_process#GO:0016020|membrane|cellular_component#GO:0016021|integral component of membrane|cellular_component#GO:0030670|phagocytic vesicle membrane|cellular_component#GO:0034130|toll-like receptor 1 signaling pathway|biological_process#GO:0035354|Toll-like receptor 1-Toll-like receptor 2 protein complex|cellular_component#GO:0042116|macrophage activation|biological_process#GO:0042495|detection of triacyl bacterial lipopeptide|biological_process#GO:0042535|positive regulation of tumor necrosis factor biosynthetic process|biological_process#GO:0045087|innate immune response|biological_process#GO:0045410|positive regulation of interleukin-6 biosynthetic process|biological_process#GO:0046982|protein heterodimerization activity|molecular_function#GO:0050707|regulation of cytokine secretion|biological_process#GO:0071727|cellular response to triacyl bacterial lipopeptide|biological_process"," protein heterodimerization activity","GO:0004872: receptor activity#GO:0004888: transmembrane signaling receptor activity#GO:0005515: protein binding#GO:0046982: protein heterodimerization activity","GO:0004872: receptor activity,GO:0004888: transmembrane signaling receptor activity,GO:0005515: protein binding,GO:0046982: protein heterodimerization activity","Plasma membrane","15","1","13629|479252|479600|482449|473782|473864","","Tlr1|IDBG-165889|ENSMUSG00000044827|21897","","2017-02-20"
"13735","Homo sapiens","9606","ENSG00000172458","53342","IL17D","interleukin 17D ","","IL17D|IDBG-13735|ENSG00000172458|53342","20702127","20723098","1","13","q12.11","GO:0005125|cytokine activity|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005615|extracellular space|cellular_component#GO:0006954|inflammatory response|biological_process"," cytokine activity","GO:0005125: cytokine activity","GO:0005125: cytokine activity","Extracellular","0","0","13737|807340|807345","","Il17d|IDBG-168647|ENSMUSG00000050222|239114","IL17D|IDBG-631294|ENSBTAG00000025402|614982","2017-02-20"
