Gene	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence
TIPARP	ENSG00000163659	TCDD inducible poly(ADP-ribose) polymerase	3	156673235-156706770	Enzymes, Predicted intracellular proteins	Evidence at transcript level
CEBPD	ENSG00000221869	CCAAT/enhancer binding protein delta	8	47736909-47739086	Predicted intracellular proteins, Transcription factors	Evidence at protein level
BEND5	ENSG00000162373	BEN domain containing 5	1	48727523-48776969	Predicted intracellular proteins	Evidence at protein level
ARL14EP	ENSG00000152219	ADP ribosylation factor like GTPase 14 effector protein	11	30323051-30338227	Predicted intracellular proteins	Evidence at protein level
APOBEC3D	ENSG00000243811	Apolipoprotein B mRNA editing enzyme catalytic subunit 3D	22	39021113-39033276	Predicted intracellular proteins	Evidence at protein level
KRTCAP3	ENSG00000157992	Keratinocyte associated protein 3	2	27442366-27446481	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level
CFB	ENSG00000243649	Complement factor B	6	31945650-31952084	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level
CCL19	ENSG00000172724	C-C motif chemokine ligand 19	9	34689567-34691277	Cancer-related genes, Predicted secreted proteins	Evidence at protein level
SNX22	ENSG00000157734	Sorting nexin 22	15	64151715-64157481	Predicted intracellular proteins	Evidence at protein level
SAV1	ENSG00000151748	Salvador family WW domain containing protein 1	14	50632058-50668331	Predicted intracellular proteins	Evidence at protein level
CCDC24	ENSG00000159214	Coiled-coil domain containing 24	1	43991359-43996528	Predicted intracellular proteins	Evidence at protein level
KYAT3	ENSG00000137944	Kynurenine aminotransferase 3	1	88935773-88992953	Enzymes, Predicted intracellular proteins	Evidence at protein level
CD69	ENSG00000110848	CD69 molecule	12	9752486-9760901	CD markers, Predicted membrane proteins	Evidence at protein level
STOX1	ENSG00000165730	Storkhead box 1	10	68827541-68895432	Disease related genes, Predicted secreted proteins	Evidence at protein level
KLRB1	ENSG00000111796	Killer cell lectin like receptor B1	12	9594551-9607886	CD markers, Predicted membrane proteins	Evidence at protein level
TOPORS-AS1	ENSG00000235453	TOPORS antisense RNA 1	9	32551144-32567005	Predicted intracellular proteins, Predicted membrane proteins	Evidence at transcript level
ENDOV	ENSG00000173818	Endonuclease V	17	80415165-80438086	Predicted intracellular proteins	Evidence at protein level
MS4A1	ENSG00000156738	Membrane spanning 4-domains A1	11	60455752-60470760	CD markers, Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level
BTG1	ENSG00000133639	BTG anti-proliferation factor 1	12	92140278-92145897	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level
TNFRSF14	ENSG00000157873	TNF receptor superfamily member 14	1	2555639-2565382	Cancer-related genes, CD markers, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level
SPIB	ENSG00000269404	Spi-B transcription factor	19	50418938-50431313	Predicted intracellular proteins, Transcription factors	Evidence at protein level
MYBPC1	ENSG00000196091	Myosin binding protein C, slow type	12	101568353-101686018	Disease related genes, Predicted intracellular proteins	Evidence at protein level
TRIM21	ENSG00000132109	Tripartite motif containing 21	11	4384897-4393696	Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level
C17orf107	ENSG00000205710	Chromosome 17 open reading frame 107	17	4899418-4902932	Predicted intracellular proteins	Evidence at transcript level
FAM117A	ENSG00000121104	Family with sequence similarity 117 member A	17	49710332-49789180	Predicted intracellular proteins	Evidence at protein level
ADHFE1	ENSG00000147576	Alcohol dehydrogenase, iron containing 1	8	66430185-66471601	Enzymes, Predicted intracellular proteins	Evidence at protein level
TPT1	ENSG00000133112	Tumor protein, translationally-controlled 1	13	45333471-45341370	Plasma proteins, Predicted intracellular proteins	Evidence at protein level
CXCL2	ENSG00000081041	C-X-C motif chemokine ligand 2	4	74097035-74099293	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level
CLIC6	ENSG00000159212	Chloride intracellular channel 6	21	34669389-34718227	Predicted intracellular proteins, Transporters	Evidence at protein level
JUND	ENSG00000130522	JunD proto-oncogene, AP-1 transcription factor subunit	19	18279760-18281622	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level
PARP3	ENSG00000041880	Poly(ADP-ribose) polymerase family member 3	3	51942345-51948867	Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level
ALKBH2	ENSG00000189046	AlkB homolog 2, alpha-ketoglutarate dependent dioxygenase	12	109088188-109093631	Enzymes, Predicted intracellular proteins	Evidence at protein level
ELOVL2	ENSG00000197977	ELOVL fatty acid elongase 2	6	10980759-11044314	Enzymes, Predicted membrane proteins	Evidence at protein level
NME3	ENSG00000103024	NME/NM23 nucleoside diphosphate kinase 3	16	1770286-1771730	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level
IRF2	ENSG00000168310	Interferon regulatory factor 2	4	184387713-184474580	Predicted intracellular proteins, Transcription factors	Evidence at protein level
GRHPR	ENSG00000137106	Glyoxylate and hydroxypyruvate reductase	9	37422666-37436990	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level
EGR2	ENSG00000122877	Early growth response 2	10	62811996-62919900	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level
PHF7	ENSG00000010318	PHD finger protein 7	3	52410657-52423641	Predicted intracellular proteins	Evidence at protein level
STC2	ENSG00000113739	Stanniocalcin 2	5	173314713-173329503	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level
GNA15	ENSG00000060558	G protein subunit alpha 15	19	3136193-3163769	Plasma proteins, Predicted intracellular proteins	Evidence at protein level
NPY1R	ENSG00000164128	Neuropeptide Y receptor Y1	4	163323961-163344832	G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level
REEP2	ENSG00000132563	Receptor accessory protein 2	5	138439017-138446969	Disease related genes, Predicted membrane proteins	Evidence at protein level
RPL27A	ENSG00000166441	Ribosomal protein L27a	11	8682411-8714759	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level
CHGA	ENSG00000100604	Chromogranin A	14	92923080-92935293	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level
DOK7	ENSG00000175920	Docking protein 7	4	3463311-3494483	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level
CD79A	ENSG00000105369	CD79a molecule	19	41877120-41881372	Cancer-related genes, CD markers, Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level
NDUFA5	ENSG00000128609	NADH:ubiquinone oxidoreductase subunit A5	7	123536997-123558255	Predicted intracellular proteins	Evidence at protein level
PSME1	ENSG00000092010	Proteasome activator subunit 1	14	24136158-24138967	Plasma proteins, Predicted intracellular proteins	Evidence at protein level
ZBED6CL	ENSG00000188707	ZBED6 C-terminal like	7	150329789-150332721	Predicted intracellular proteins	Evidence at transcript level
SFPQ	ENSG00000116560	Splicing factor proline and glutamine rich	1	35176378-35193148	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level
ZNF586	ENSG00000083828	Zinc finger protein 586	19	57769655-57819939	Predicted intracellular proteins, Transcription factors	Evidence at protein level
GSTM4	ENSG00000168765	Glutathione S-transferase mu 4	1	109656081-109674836	Enzymes, Predicted intracellular proteins	Evidence at protein level
BTN2A2	ENSG00000124508	Butyrophilin subfamily 2 member A2	6	26383096-26394874	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level
GNAI2	ENSG00000114353	G protein subunit alpha i2	3	50226292-50259355	Predicted intracellular proteins	Evidence at protein level
MRPL16	ENSG00000166902	Mitochondrial ribosomal protein L16	11	59806135-59810872	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level
CYP27A1	ENSG00000135929	Cytochrome P450 family 27 subfamily A member 1	2	218781749-218815293	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level
CD74	ENSG00000019582	CD74 molecule	5	150401637-150412929	Cancer-related genes, CD markers, Disease related genes, Predicted membrane proteins	Evidence at protein level
TP63	ENSG00000073282	Tumor protein p63	3	189631416-189897279	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level
BTBD6	ENSG00000184887	BTB domain containing 6	14	105248490-105251093	Predicted intracellular proteins	Evidence at protein level
MORN3	ENSG00000139714	MORN repeat containing 3	12	121648742-121672631	Predicted intracellular proteins	Evidence at protein level
SIAH2	ENSG00000181788	Siah E3 ubiquitin protein ligase 2	3	150741127-150763477	Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level
ACYP1	ENSG00000119640	Acylphosphatase 1	14	75053221-75069483	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level
TSPYL5	ENSG00000180543	TSPY like 5	8	97273474-97277964	Predicted intracellular proteins	Evidence at protein level
IP6K2	ENSG00000068745	Inositol hexakisphosphate kinase 2	3	48688003-48740353	Enzymes, Predicted intracellular proteins	Evidence at protein level
PSME2	ENSG00000100911	Proteasome activator subunit 2	14	24143362-24147570	Predicted intracellular proteins	Evidence at protein level
SEMA3B	ENSG00000012171	Semaphorin 3B	3	50267558-50277546	Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level
KRT5	ENSG00000186081	Keratin 5	12	52514575-52520687	Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level
KLHDC7B	ENSG00000130487	Kelch domain containing 7B	22	50548033-50551023	Predicted intracellular proteins	Evidence at protein level
CDON	ENSG00000064309	Cell adhesion associated, oncogene regulated	11	125955796-126063335	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level
COL17A1	ENSG00000065618	Collagen type XVII alpha 1 chain	10	104031286-104086002	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level
SPN	ENSG00000197471	Sialophorin	16	29662979-29670876	CD markers, Predicted membrane proteins	Evidence at protein level
RNF150	ENSG00000170153	Ring finger protein 150	4	140859807-141212877	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level
DHRS12	ENSG00000102796	Dehydrogenase/reductase 12	13	51767993-51804157	Predicted intracellular proteins	Evidence at protein level
IFI35	ENSG00000068079	Interferon induced protein 35	17	43006725-43014456	Predicted intracellular proteins	Evidence at protein level
QARS	ENSG00000172053	Glutaminyl-tRNA synthetase	3	49095932-49105135	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level
RFX3	ENSG00000080298	Regulatory factor X3	9	3218297-3526004	Predicted intracellular proteins, Transcription factors	Evidence at protein level
TTC39C	ENSG00000168234	Tetratricopeptide repeat domain 39C	18	23992773-24135610	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level
OSGEP	ENSG00000092094	O-sialoglycoprotein endopeptidase	14	20446411-20455105	Enzymes, Predicted intracellular proteins	Evidence at protein level
RPS24	ENSG00000138326	Ribosomal protein S24	10	78033760-78056812	Disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level
DRC3	ENSG00000171962	Dynein regulatory complex subunit 3	17	17972813-18016889	Predicted intracellular proteins	Evidence at transcript level
RELB	ENSG00000104856	RELB proto-oncogene, NF-kB subunit	19	45001430-45038198	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level
UBA7	ENSG00000182179	Ubiquitin like modifier activating enzyme 7	3	49805207-49813946	Plasma proteins, Predicted membrane proteins	Evidence at protein level
TRIM45	ENSG00000134253	Tripartite motif containing 45	1	117111060-117122587	Predicted intracellular proteins	Evidence at protein level
C1orf53	ENSG00000203724	Chromosome 1 open reading frame 53	1	197902647-197907367	Predicted intracellular proteins	Evidence at protein level
OMA1	ENSG00000162600	OMA1 zinc metallopeptidase	1	58415384-58546802	Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level
FBL	ENSG00000105202	Fibrillarin	19	39834458-39846414	Plasma proteins, Predicted intracellular proteins	Evidence at protein level
POU2AF1	ENSG00000110777	POU class 2 associating factor 1	11	111352252-111455630	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level
CD3E	ENSG00000198851	CD3e molecule	11	118304545-118316175	CD markers, Disease related genes, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level
HSPA2	ENSG00000126803	Heat shock protein family A (Hsp70) member 2	14	64535905-64546173	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level
HPDL	ENSG00000186603	4-hydroxyphenylpyruvate dioxygenase like	1	45326905-45328533	Predicted intracellular proteins	Evidence at protein level
EGR3	ENSG00000179388	Early growth response 3	8	22687659-22693302	Predicted intracellular proteins, Transcription factors	Evidence at transcript level
MFSD6L	ENSG00000185156	Major facilitator superfamily domain containing 6 like	17	8797162-8799349	Predicted membrane proteins, Transporters	Evidence at transcript level
MAGOH	ENSG00000162385	Mago homolog, exon junction complex core component	1	53226892-53238610	Predicted intracellular proteins, Transporters	Evidence at protein level
TRIM17	ENSG00000162931	Tripartite motif containing 17	1	228407940-228416861	Enzymes, Predicted intracellular proteins	Evidence at protein level
TCN1	ENSG00000134827	Transcobalamin 1	11	59852800-59866575	Plasma proteins, Predicted secreted proteins	Evidence at protein level
CD6	ENSG00000013725	CD6 molecule	11	60971680-61020377	CD markers, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level
PLEKHA4	ENSG00000105559	Pleckstrin homology domain containing A4	19	48837097-48868632	Predicted intracellular proteins	Evidence at protein level
TAPBPL	ENSG00000139192	TAP binding protein like	12	6451690-6466517	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level
SH2D1A	ENSG00000183918	SH2 domain containing 1A	X	124227868-124373197	Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level
PHGR1	ENSG00000233041	Proline, histidine and glycine rich 1	15	40351033-40356434	Predicted intracellular proteins	Evidence at protein level
ARHGAP26	ENSG00000145819	Rho GTPase activating protein 26	5	142770384-143229011	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level
TTC22	ENSG00000006555	Tetratricopeptide repeat domain 22	1	54779712-54801267	Predicted intracellular proteins	Evidence at protein level
MIA	ENSG00000261857	Melanoma inhibitory activity	19	40771648-40777490	Cancer-related genes, Predicted secreted proteins	Evidence at protein level
CASP7	ENSG00000165806	Caspase 7	10	113679162-113730907	Cancer-related genes, Enzymes, Predicted intracellular proteins	Evidence at protein level
FBXO27	ENSG00000161243	F-box protein 27	19	38990714-39032785	Predicted intracellular proteins	Evidence at protein level
CBR1	ENSG00000159228	Carbonyl reductase 1	21	36069941-36073166	Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level
REC8	ENSG00000100918	REC8 meiotic recombination protein	14	24171853-24180257	Plasma proteins, Predicted intracellular proteins	Evidence at protein level
ZNF671	ENSG00000083814	Zinc finger protein 671	19	57719751-57727624	Predicted intracellular proteins, Transcription factors	Evidence at protein level
TMEM69	ENSG00000159596	Transmembrane protein 69	1	45687214-45694443	Predicted membrane proteins	Evidence at transcript level
POLR1E	ENSG00000137054	RNA polymerase I subunit E	9	37485935-37503697	Predicted intracellular proteins, Predicted membrane proteins, RNA polymerase related proteins	Evidence at protein level
ENOSF1	ENSG00000132199	Enolase superfamily member 1	18	670324-712676	Enzymes, Predicted intracellular proteins	Evidence at protein level
PRSS2	ENSG00000275896	Protease, serine 2	7	142760398-142774564	Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level
SCUBE2	ENSG00000175356	Signal peptide, CUB domain and EGF like domain containing 2	11	9020391-9138114	Predicted intracellular proteins, Predicted secreted proteins	Evidence at transcript level
ADPRH	ENSG00000144843	ADP-ribosylarginine hydrolase	3	119579268-119589945	Enzymes, Predicted intracellular proteins	Evidence at protein level
RGS2	ENSG00000116741	Regulator of G-protein signaling 2	1	192809039-192812283	Plasma proteins, Predicted intracellular proteins	Evidence at protein level
U2AF1L4	ENSG00000161265	U2 small nuclear RNA auxiliary factor 1 like 4	19	35742464-35745445	Predicted intracellular proteins	Evidence at protein level
TNFAIP8	ENSG00000145779	TNF alpha induced protein 8	5	119268692-119399688	Predicted intracellular proteins	Evidence at protein level
LAMTOR4	ENSG00000188186	Late endosomal/lysosomal adaptor, MAPK and MTOR activator 4	7	100148907-100155944	Predicted intracellular proteins	Evidence at protein level
FABP7	ENSG00000164434	Fatty acid binding protein 7	6	122779475-122784074	Predicted intracellular proteins	Evidence at protein level
RPL11	ENSG00000142676	Ribosomal protein L11	1	23691779-23696425	Disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level
RAB27A	ENSG00000069974	RAB27A, member RAS oncogene family	15	55202966-55319113	Disease related genes, Predicted intracellular proteins	Evidence at protein level
HNRNPA1L2	ENSG00000139675	Heterogeneous nuclear ribonucleoprotein A1-like 2	13	52640786-52643796	Predicted intracellular proteins	Evidence at protein level
SH3D21	ENSG00000214193	SH3 domain containing 21	1	36306387-36324886	Predicted intracellular proteins	Evidence at protein level
C1orf226	ENSG00000239887	Chromosome 1 open reading frame 226	1	162366908-162386818	Predicted intracellular proteins	Evidence at protein level
EEF1B2	ENSG00000114942	Eukaryotic translation elongation factor 1 beta 2	2	206159585-206162928	Plasma proteins, Predicted intracellular proteins	Evidence at protein level
KRT14	ENSG00000186847	Keratin 14	17	41582279-41586921	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level
RPS29	ENSG00000213741	Ribosomal protein S29	14	49570984-49599164	Disease related genes, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level
TAPBP	ENSG00000231925	TAP binding protein	6	33299694-33314387	Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level
PMPCB	ENSG00000105819	Peptidase, mitochondrial processing beta subunit	7	103297422-103329511	Enzymes, Predicted intracellular proteins	Evidence at protein level
SORBS1	ENSG00000095637	Sorbin and SH3 domain containing 1	10	95311771-95561414	Predicted intracellular proteins	Evidence at protein level
INO80B	ENSG00000115274	INO80 complex subunit B	2	74455023-74457960	Predicted intracellular proteins	Evidence at protein level
CCDC28B	ENSG00000160050	Coiled-coil domain containing 28B	1	32200386-32205387	Disease related genes, Predicted intracellular proteins	Evidence at protein level
POLR3GL	ENSG00000121851	RNA polymerase III subunit G like	1	145964702-145978848	Predicted intracellular proteins, RNA polymerase related proteins	Evidence at protein level
ACAA1	ENSG00000060971	Acetyl-CoA acyltransferase 1	3	38103129-38137242	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level
CD3D	ENSG00000167286	CD3d molecule	11	118338954-118342744	CD markers, Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level
MZT2A	ENSG00000173272	Mitotic spindle organizing protein 2A	2	131464900-131492743	Predicted intracellular proteins	Evidence at protein level
SEC14L2	ENSG00000100003	SEC14 like lipid binding 2	22	30396857-30425317	Predicted intracellular proteins	Evidence at protein level
CTSW	ENSG00000172543	Cathepsin W	11	65879809-65883741	Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level
TMEM60	ENSG00000135211	Transmembrane protein 60	7	77793728-77798580	Predicted membrane proteins, Transporters	Evidence at transcript level
S1PR4	ENSG00000125910	Sphingosine-1-phosphate receptor 4	19	3172346-3180332	G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level
TTC23	ENSG00000103852	Tetratricopeptide repeat domain 23	15	99136323-99251223	Predicted intracellular proteins	Evidence at protein level
CCDC69	ENSG00000198624	Coiled-coil domain containing 69	5	151181052-151224145	Predicted intracellular proteins	Evidence at protein level
PML	ENSG00000140464	Promyelocytic leukemia	15	73994673-74047812	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level
GTF2IRD2B	ENSG00000174428	GTF2I repeat domain containing 2B	7	75092573-75149817	Disease related genes, Predicted intracellular proteins	Evidence at protein level
GSAP	ENSG00000186088	Gamma-secretase activating protein	7	77310751-77416400	Predicted intracellular proteins	Evidence at protein level
SLC28A3	ENSG00000197506	Solute carrier family 28 member 3	9	84275457-84340683	Predicted membrane proteins, Transporters	Evidence at protein level
WDR89	ENSG00000140006	WD repeat domain 89	14	63597039-63641861	Predicted intracellular proteins	Evidence at protein level
DHX58	ENSG00000108771	DExH-box helicase 58	17	42101404-42112733	Enzymes, Predicted intracellular proteins	Evidence at protein level
DOC2B	ENSG00000272636	Double C2 domain beta	17	142789-181636	Predicted intracellular proteins	Evidence at protein level
GIMAP2	ENSG00000106560	GTPase, IMAP family member 2	7	150685697-150693641	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level
ZNF394	ENSG00000160908	Zinc finger protein 394	7	99486519-99500324	Predicted intracellular proteins, Transcription factors	Evidence at protein level
BIRC3	ENSG00000023445	Baculoviral IAP repeat containing 3	11	102317450-102339403	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level
NAT6	ENSG00000243477	N-acetyltransferase 6	3	50296402-50299421	Predicted intracellular proteins	Evidence at protein level
MT-ND1	ENSG00000198888	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1	MT	3307-4262	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level
TTYH1	ENSG00000167614	Tweety family member 1	19	54415219-54436900	Predicted membrane proteins, Transporters	Evidence at protein level
SELL	ENSG00000188404	Selectin L	1	169690667-169711698	Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Plasma proteins, Predicted membrane proteins	Evidence at protein level
TBC1D10C	ENSG00000175463	TBC1 domain family member 10C	11	67403915-67410089	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level
CCR7	ENSG00000126353	C-C motif chemokine receptor 7	17	40553769-40565472	Cancer-related genes, CD markers, G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level
CD48	ENSG00000117091	CD48 molecule	1	160678746-160711851	CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level
C3orf62	ENSG00000188315	Chromosome 3 open reading frame 62	3	49268602-49277909	Predicted intracellular proteins	Evidence at protein level
STK39	ENSG00000198648	Serine/threonine kinase 39	2	167954020-168248141	Enzymes, Predicted intracellular proteins	Evidence at protein level
CST1	ENSG00000170373	Cystatin SN	20	23747553-23751268	Plasma proteins, Predicted secreted proteins	Evidence at protein level
WLS	ENSG00000116729	Wntless Wnt ligand secretion mediator	1	68098473-68233120	Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level
C19orf66	ENSG00000130813	Chromosome 19 open reading frame 66	19	10086122-10093252	Predicted intracellular proteins	Evidence at protein level
SPOCK2	ENSG00000107742	SPARC/osteonectin, cwcv and kazal like domains proteoglycan 2	10	72059035-72089032	Predicted secreted proteins	Evidence at protein level
TF	ENSG00000091513	Transferrin	3	133745956-133779006	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level
CD5	ENSG00000110448	CD5 molecule	11	61102395-61127852	CD markers, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level
CYP4F11	ENSG00000171903	Cytochrome P450 family 4 subfamily F member 11	19	15912367-15934867	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level
TMEM156	ENSG00000121895	Transmembrane protein 156	4	38966744-39032922	Predicted membrane proteins	Evidence at transcript level
