rsID	Allele Count	Allele Number	Allele Frequency
rs185453517	7	251270	2.78585E-05
rs755078925	7	281250	2.48889E-05
rs764546661	6	282898	2.12091E-05
rs369882489	6	251096	2.38952E-05
rs147089697	6	282736	2.12212E-05
rs755283848	6	250396	2.3962E-05
rs560166322	6	280570	2.1385E-05
rs566609238	6	282876	2.12107E-05
rs752406126	6	249352	2.40624E-05
rs201265445	6	249474	2.40506E-05
rs148218230	5	251160	1.99076E-05
rs372587197	5	282890	1.76747E-05
rs376612881	5	282832	1.76783E-05
rs770334500	5	251316	1.98953E-05
rs778171437	5	251310	1.98957E-05
rs753300548	5	282452	1.77021E-05
rs754293215	5	251430	1.98863E-05
rs747472801	5	282804	1.76801E-05
rs1232266249	5	251400	1.98886E-05
rs200411415	5	251444	1.98851E-05
rs761578972	5	240644	2.07776E-05
rs772580104	5	251190	1.99053E-05
rs145546759	5	250774	1.99383E-05
rs61739434	5	282642	1.76902E-05
rs766376991	5	282206	1.77176E-05
rs1460707007	5	249622	2.00303E-05
rs767833249	5	251428	1.98864E-05
rs376103978	4	282728	1.41479E-05
rs767960228	4	282870	1.41408E-05
rs775936038	4	251488	1.59053E-05
rs775714338	4	251372	1.59127E-05
rs1486635082	4	251390	1.59115E-05
rs766709487	4	282820	1.41433E-05
rs773759182	4	251438	1.59085E-05
rs763583717	4	251462	1.5907E-05
rs746723734	4	251468	1.59066E-05
rs757012279	4	251486	1.59055E-05
rs747126686	4	249638	1.60232E-05
rs207476513	4	280804	1.42448E-05
rs751760352	4	249134	1.60556E-05
rs540706858	4	251394	1.59113E-05
rs1437905118	4	251360	1.59134E-05
rs769380305	4	251242	1.59209E-05
rs377240751	3	251468	1.19299E-05
rs199832571	3	250906	1.19567E-05
rs948182809	3	251478	1.19295E-05
rs375510977	3	282888	1.06049E-05
rs868043289	3	251442	1.19312E-05
rs745877933	3	251438	1.19314E-05
rs753576948	3	251354	1.19354E-05
rs767681044	3	251256	1.194E-05
rs201652098	3	282840	1.06067E-05
rs766557166	3	250996	1.19524E-05
rs1350466013	3	251068	1.1949E-05
rs147089697	3	251328	1.19366E-05
rs769184826	3	251454	1.19306E-05
rs1253080035	3	251410	1.19327E-05
rs779058689	3	251380	1.19341E-05
rs137947756	3	251476	1.19296E-05
rs558019160	3	251396	1.19334E-05
rs142511713	3	282794	1.06084E-05
rs777848197	3	251230	1.19412E-05
rs771035019	3	250954	1.19544E-05
rs192121355	3	250646	1.19691E-05
rs770380718	3	282774	1.06092E-05
rs776436014	3	226434	1.32489E-05
rs757153529	3	282714	1.06114E-05
rs371543773	3	282784	1.06088E-05
rs760580694	3	248972	1.20495E-05
rs766535345	3	251202	1.19426E-05
rs774625571	3	251492	1.19288E-05
rs781198875	3	281222	1.06677E-05
rs780242968	3	249770	1.20111E-05
rs201265445	3	249474	1.20253E-05
rs1333967646	2	250922	7.9706E-06
rs768313551	2	282778	7.07269E-06
rs776138254	2	251338	7.95741E-06
rs913754999	2	31412	6.36699E-05
rs768763638	2	251452	7.9538E-06
rs753574069	2	250064	7.99795E-06
rs780068373	2	251214	7.96134E-06
rs139622896	2	282874	7.07029E-06
rs1012659468	2	251490	7.9526E-06
rs761549268	2	282884	7.07004E-06
rs1463197601	2	251494	7.95248E-06
rs1234709406	2	251450	7.95387E-06
rs200959034	2	251428	7.95456E-06
rs764160861	2	282814	7.07179E-06
rs753576948	2	251354	7.95691E-06
rs202152950	2	251376	7.95621E-06
rs751632832	2	251426	7.95463E-06
rs1232718635	2	251372	7.95634E-06
rs369882489	2	251096	7.96508E-06
rs756600511	2	251190	7.9621E-06
rs762874087	2	251416	7.95494E-06
rs749161457	2	251444	7.95406E-06
rs200401890	2	251392	7.9557E-06
rs772358248	2	282790	7.07239E-06
rs1473464044	2	31390	6.37146E-05
rs778860723	2	282776	7.07274E-06
rs750925367	2	251444	7.95406E-06
rs766709487	2	251440	7.95418E-06
rs763421906	2	251460	7.95355E-06
rs776470073	2	251422	7.95475E-06
rs754779839	2	251438	7.95425E-06
rs372129422	2	251434	7.95437E-06
rs1344094352	2	31400	6.36943E-05
rs1438119531	2	251402	7.95539E-06
rs752631289	2	250724	7.9769E-06
rs984747194	2	241242	8.29043E-06
rs750606197	2	248718	8.04124E-06
rs778688663	2	281260	7.11086E-06
rs774937766	2	249876	8.00397E-06
rs749108037	2	251442	7.95412E-06
rs147891777	2	282876	7.07024E-06
rs539936741	2	251304	7.95849E-06
rs764783146	2	251176	7.96254E-06
rs762908805	2	250912	7.97092E-06
rs781449506	2	249600	8.01282E-06
rs201659333	2	249310	8.02214E-06
rs201603123	2	248158	8.05938E-06
rs1229583048	2	251254	7.96007E-06
rs1183455087	2	251280	7.95925E-06
rs764447093	2	251272	7.9595E-06
rs762142945	2	250674	7.97849E-06
rs1205503883	2	248626	8.04421E-06
rs1409269287	2	31386	6.37227E-05
rs185591403	2	249646	8.01134E-06
rs760845399	2	251388	7.95583E-06
rs1166209995	2	249800	8.00641E-06
rs773192593	1	251302	3.97928E-06
rs148218230	1	251160	3.98153E-06
rs1409388640	1	250930	3.98518E-06
rs376298832	1	250822	3.98689E-06
rs1450106543	1	250672	3.98928E-06
rs779175062	1	249336	4.01065E-06
rs746193434	1	249116	4.01419E-06
rs1278710462	1	248974	4.01648E-06
rs755728019	1	251354	3.97845E-06
rs1351282061	1	251284	3.97956E-06
rs777174586	1	251274	3.97972E-06
rs748777150	1	251336	3.97874E-06
rs369998064	1	250854	3.98638E-06
rs778260650	1	251428	3.97728E-06
rs772094524	1	251480	3.97646E-06
rs1459117305	1	251476	3.97652E-06
rs1248260327	1	251466	3.97668E-06
rs746740898	1	251460	3.97678E-06
rs1259323380	1	251430	3.97725E-06
rs1474124340	1	251440	3.97709E-06
rs151075970	1	251414	3.9775E-06
rs761920065	1	251354	3.97845E-06
rs769957994	1	251352	3.97848E-06
rs1282418533	1	250564	3.991E-06
rs1186975527	1	250876	3.98603E-06
rs1263368236	1	250916	3.9854E-06
rs1190654732	1	251044	3.98337E-06
rs751898012	1	251196	3.98096E-06
rs751898012	1	251196	3.98096E-06
rs372257325	1	251278	3.97966E-06
rs944660025	1	251356	3.97842E-06
rs1295173866	1	251414	3.9775E-06
rs1345647079	1	251470	3.97662E-06
rs1286455011	1	251478	3.97649E-06
rs764739004	1	251494	3.97624E-06
rs1347283656	1	251496	3.97621E-06
rs1359188071	1	31392	3.18552E-05
rs148437803	1	251492	3.97627E-06
rs1259726445	1	251482	3.97643E-06
rs1476538361	1	31412	3.1835E-05
rs746414030	1	251484	3.9764E-06
rs775936038	1	251488	3.97633E-06
rs1158837769	1	251492	3.97627E-06
rs762664201	1	251492	3.97627E-06
rs1423928830	1	31386	3.18613E-05
rs559247649	1	251484	3.9764E-06
rs750985607	1	251484	3.9764E-06
rs754961434	1	251486	3.97636E-06
rs767295609	1	251462	3.97674E-06
rs752678089	1	251456	3.97684E-06
rs755923770	1	251458	3.97681E-06
rs778983623	1	251442	3.97706E-06
rs868043289	1	31410	3.1837E-05
rs775926437	1	251416	3.97747E-06
rs777097830	1	251404	3.97766E-06
rs1439923967	1	251426	3.97731E-06
rs200959034	1	251428	3.97728E-06
rs200959034	1	251428	3.97728E-06
rs149159403	1	251418	3.97744E-06
rs759039850	1	251414	3.9775E-06
rs1214862105	1	251370	3.9782E-06
rs1324288076	1	31408	3.1839E-05
rs750793062	1	251376	3.9781E-06
rs1432519712	1	31408	3.1839E-05
rs1256999655	1	251344	3.97861E-06
rs1417441151	1	251352	3.97848E-06
rs1169590747	1	251294	3.9794E-06
rs769238615	1	251260	3.97994E-06
rs759207591	1	251322	3.97896E-06
rs778493303	1	251346	3.97858E-06
rs761663340	1	251362	3.97833E-06
rs765065318	1	251374	3.97814E-06
rs1475089826	1	251406	3.97763E-06
rs192302751	1	251410	3.97757E-06
rs1397037491	1	251414	3.9775E-06
rs1171740055	1	251422	3.97738E-06
rs755546923	1	251434	3.97719E-06
rs1325992296	1	251422	3.97738E-06
rs1242544637	1	31402	3.18451E-05
rs774873044	1	251174	3.9813E-06
rs1467227815	1	251106	3.98238E-06
rs1377022414	1	251130	3.982E-06
rs761714590	1	251082	3.98276E-06
rs764980617	1	251104	3.98241E-06
rs773012360	1	251028	3.98362E-06
rs954008966	1	251024	3.98368E-06
rs766557166	1	250996	3.98413E-06
rs1336871782	1	250988	3.98425E-06
rs1445070677	1	251022	3.98371E-06
	1	251034	3.98352E-06
rs1051864636	1	251176	3.98127E-06
rs778017429	1	251170	3.98137E-06
rs1382586190	1	31408	3.1839E-05
rs768204118	1	251368	3.97823E-06
rs370803633	1	251368	3.97823E-06
rs1404658868	1	31400	3.18471E-05
rs1412108438	1	251390	3.97788E-06
rs1327481278	1	251372	3.97817E-06
rs769715118	1	251398	3.97776E-06
rs766077885	1	251420	3.97741E-06
rs759804949	1	251430	3.97725E-06
rs1482580151	1	251428	3.97728E-06
rs1188392291	1	251446	3.977E-06
rs915683814	1	251426	3.97731E-06
rs764592128	1	251440	3.97709E-06
rs746704713	1	251438	3.97712E-06
rs754584846	1	251432	3.97722E-06
rs1374088253	1	251450	3.97693E-06
rs752864890	1	251434	3.97719E-06
rs774252266	1	251416	3.97747E-06
rs1262019138	1	251386	3.97795E-06
rs1442921300	1	31390	3.18573E-05
rs1455079937	1	251398	3.97776E-06
rs1176119970	1	251386	3.97795E-06
rs754630103	1	251410	3.97757E-06
rs1319972038	1	251412	3.97753E-06
rs752279141	1	251436	3.97716E-06
rs777119422	1	251408	3.9776E-06
rs1486635082	1	251390	3.97788E-06
rs1251712574	1	251428	3.97728E-06
rs1432894783	1	251432	3.97722E-06
rs1160278368	1	251428	3.97728E-06
rs1467953555	1	31386	3.18613E-05
rs1451859955	1	251446	3.977E-06
rs538173484	1	251434	3.97719E-06
rs768818689	1	251434	3.97719E-06
rs1236403135	1	251436	3.97716E-06
rs755684438	1	251424	3.97735E-06
rs1178329124	1	251424	3.97735E-06
rs1417730709	1	251406	3.97763E-06
rs745784878	1	251350	3.97852E-06
rs1287244028	1	251412	3.97753E-06
rs1283086327	1	31404	3.18431E-05
rs1031608855	1	251452	3.9769E-06
rs766762912	1	251450	3.97693E-06
rs753520145	1	251460	3.97678E-06
rs1476307353	1	251456	3.97684E-06
rs764814459	1	31392	3.18552E-05
rs1429221070	1	251488	3.97633E-06
rs375267926	1	251470	3.97662E-06
rs779921420	1	251476	3.97652E-06
rs1307160400	1	251464	3.97671E-06
rs1013947273	1	31386	3.18613E-05
rs1416224402	1	251436	3.97716E-06
rs1282094589	1	251432	3.97722E-06
rs1377762937	1	251420	3.97741E-06
rs948615727	1	31402	3.18451E-05
rs748348483	1	251372	3.97817E-06
rs142511713	1	251408	3.9776E-06
rs749819576	1	251428	3.97728E-06
rs373927974	1	251414	3.9775E-06
rs764869623	1	251424	3.97735E-06
rs1431086431	1	251442	3.97706E-06
rs368262948	1	251440	3.97709E-06
rs1177800120	1	31396	3.18512E-05
rs751502639	1	251448	3.97697E-06
rs1217836478	1	251438	3.97712E-06
rs543762478	1	251336	3.97874E-06
rs1218289243	1	251326	3.9789E-06
rs1166622505	1	31380	3.18674E-05
rs771035019	1	31386	3.18613E-05
rs1455376420	1	250456	3.99272E-06
rs772360980	1	247940	4.03323E-06
rs775955438	1	247550	4.03959E-06
rs769512365	1	236850	4.22208E-06
rs1373842957	1	235110	4.25333E-06
rs778041239	1	250700	3.98883E-06
rs754042867	1	250960	3.9847E-06
rs754042867	1	250960	3.9847E-06
rs746390819	1	251018	3.98378E-06
rs780579381	1	251248	3.98013E-06
rs747310910	1	251328	3.97886E-06
rs1016954635	1	251428	3.97728E-06
rs1225296032	1	31384	3.18634E-05
rs1276922351	1	31384	3.18634E-05
rs773049876	1	251412	3.97753E-06
rs1188261413	1	251428	3.97728E-06
rs1344213022	1	31394	3.18532E-05
rs1471543809	1	251358	3.97839E-06
rs1190365056	1	31400	3.18471E-05
rs202033420	1	210170	4.75805E-06
rs745453530	1	218166	4.58367E-06
rs141377491	1	222764	4.48906E-06
rs761952803	1	228136	4.38335E-06
rs1199562302	1	235014	4.25507E-06
rs752145324	1	249646	4.00567E-06
rs1455718120	1	249694	4.0049E-06
rs748480906	1	249600	4.00641E-06
rs748480906	1	249600	4.00641E-06
rs745483455	1	249866	4.00215E-06
rs139674521	1	249868	4.00211E-06
rs1260978755	1	249630	4.00593E-06
rs1265677223	1	245524	4.07292E-06
rs751199911	1	251458	3.97681E-06
rs144640723	1	251456	3.97684E-06
rs568464149	1	251470	3.97662E-06
rs749159781	1	251476	3.97652E-06
rs770833294	1	251482	3.97643E-06
rs1180175699	1	251472	3.97659E-06
rs774759378	1	251466	3.97668E-06
rs1391728313	1	251398	3.97776E-06
	1	247366	4.04259E-06
rs1363623930	1	249946	4.00086E-06
rs1435094197	1	250012	3.99981E-06
rs749212318	1	250840	3.98661E-06
rs1266391404	1	251080	3.98279E-06
rs1192448315	1	251284	3.97956E-06
rs1478904781	1	251326	3.9789E-06
rs1189030736	1	251306	3.97921E-06
rs746127916	1	251286	3.97953E-06
rs772130290	1	251294	3.9794E-06
rs1235302486	1	31400	3.18471E-05
rs376091953	1	240866	4.15169E-06
rs1187621645	1	251322	3.97896E-06
rs1391131311	1	251472	3.97659E-06
rs1370172139	1	251482	3.97643E-06
rs147732005	1	251486	3.97636E-06
rs1336211774	1	251486	3.97636E-06
rs1272280045	1	251354	3.97845E-06
rs761469404	1	251108	3.98235E-06
rs1006695348	1	250068	3.99891E-06
rs2302189	1	248086	4.03086E-06
rs201659333	1	249310	4.01107E-06
rs201603123	1	31396	3.18512E-05
rs746358462	1	251196	3.98096E-06
rs61739434	1	251266	3.97985E-06
rs1350892332	1	31380	3.18674E-05
rs1297074953	1	251300	3.97931E-06
rs772734478	1	251284	3.97956E-06
rs759427112	1	251282	3.97959E-06
rs760815615	1	251258	3.97997E-06
rs764447093	1	251272	3.97975E-06
rs780579813	1	250718	3.98854E-06
rs1360344368	1	250492	3.99214E-06
rs1214799549	1	250658	3.9895E-06
rs1427943618	1	251034	3.98352E-06
rs768528321	1	251232	3.98038E-06
rs1352031077	1	251254	3.98004E-06
rs766535345	1	251202	3.98086E-06
rs759907322	1	251214	3.98067E-06
rs1183337902	1	251492	3.97627E-06
rs1029270174	1	31410	3.1837E-05
rs750969770	1	251494	3.97624E-06
rs369858669	1	251490	3.9763E-06
rs1408200890	1	251488	3.97633E-06
rs756004068	1	251494	3.97624E-06
rs3744108	1	31322	3.19264E-05
rs1200530328	1	251486	3.97636E-06
rs1449106728	1	251464	3.97671E-06
rs764468324	1	251456	3.97684E-06
	1	251470	3.97662E-06
rs1288510042	1	250770	3.98772E-06
rs1260452535	1	250770	3.98772E-06
rs753802031	1	250600	3.99042E-06
rs1420753302	1	250644	3.98972E-06
rs780113945	1	250836	3.98667E-06
rs747160012	1	250866	3.98619E-06
rs1298225395	1	250732	3.98832E-06
rs1390125791	1	250652	3.9896E-06
rs770075854	1	250750	3.98804E-06
rs369444194	1	250694	3.98893E-06
rs775264974	1	250654	3.98956E-06
rs1426437007	1	250014	3.99978E-06
rs1169095337	1	249914	4.00138E-06
rs748614768	1	249754	4.00394E-06
rs1431919135	1	249682	4.00509E-06
rs187937342	1	249452	4.00879E-06
rs1325789913	1	248976	4.01645E-06
rs1302603330	1	251434	3.97719E-06
rs754393169	1	251382	3.97801E-06
rs1473330587	1	31376	3.18715E-05
rs765902821	1	249888	4.00179E-06
rs1333338404	1	249696	4.00487E-06
rs376613301	1	247284	4.04393E-06
rs1300868630	1	31290	3.19591E-05
rs1431145827	1	31348	3.19E-05
