	idx	beta	pval	cilb	ciub	i2	tau2	V1	V2
ENSG00000111404	28265	-4.215365117	3.36E-13	-5.350392839	-3.080337395	98.99377852	7.386825232	RERGL	208
ENSG00000154330	16004	-2.911640321	1.62E-11	-3.758698721	-2.064581921	99.31385095	4.008787818	PGM5	209
ENSG00000013297	5918	-1.728638054	6.26E-13	-2.199555547	-1.25772056	96.6752137	1.122440727	CLDN11	211
ENSG00000114698	2461	-1.508525476	4.35E-12	-1.935460676	-1.081590276	98.67447531	1.020429593	PLSCR4	212
ENSG00000117758	13331	-0.606149938	2.39E-12	-0.775634493	-0.436665382	97.51323696	0.155206024	STX12	219
ENSG00000163512	29755	-0.330203679	7.27E-11	-0.429543206	-0.230864153	91.50674313	0.047299609	AZI2	219
ENSG00000162999	30820	-0.697855869	5.15E-19	-0.851382144	-0.544329594	91.43273247	0.112674659	DUSP19	221
ENSG00000140876	2807	-0.886245235	6.41E-11	-1.152088228	-0.620402241	97.77342057	0.401652784	NUDT7	227
ENSG00000136143	19563	-0.44635112	1.84E-11	-0.576577071	-0.316125169	95.06131049	0.08737208	SUCLA2	228
ENSG00000127951	14319	-1.674256006	2.27E-12	-2.141903031	-1.206608982	98.00313361	1.187505299	FGL2	229
ENSG00000184905	18253	-4.400746818	1.12E-13	-5.562266177	-3.239227459	98.97908878	7.772932365	TCEAL2	231
ENSG00000147853	22923	-0.731728965	2.78E-12	-0.936949434	-0.526508496	98.2000723	0.241852708	AK3	231
ENSG00000080503	13120	-0.787596793	3.81E-22	-0.947132435	-0.628061151	96.18659509	0.13310825	SMARCA2	232
ENSG00000113851	25004	-0.467802929	5.61E-13	-0.594978455	-0.340627402	95.50197287	0.085141857	CRBN	232
ENSG00000104804	559	-1.726861316	1.23E-18	-2.110968961	-1.342753671	89.51765749	0.626904318	TULP2	234
ENSG00000170153	28985	-2.003545195	5.02E-11	-2.601216128	-1.405874261	98.55361752	1.988913313	RNF150	234
ENSG00000141639	731	-3.281549948	5.76E-12	-4.215654529	-2.347445367	98.61084111	5.017443995	MAPK4	237
ENSG00000125740	22300	-2.852150544	4.06E-23	-3.416671707	-2.287629382	92.92092606	1.60253441	FOSB	241
ENSG00000145708	16064	-3.80079031	1.17E-18	-4.645670537	-2.955910083	98.12504014	3.864246064	CRHBP	242
ENSG00000178343	4266	-2.700679952	5.11E-11	-3.506613205	-1.8947467	97.70970464	3.47220726	SHISA3	242
ENSG00000171357	16658	-1.156879871	1.60E-13	-1.464165198	-0.849594545	95.9458615	0.495207661	LURAP1	243
ENSG00000151240	28278	-0.686742079	8.06E-12	-0.883597921	-0.489886237	94.86816368	0.197338551	DIP2C	244
ENSG00000258289	22802	-0.457441729	2.67E-11	-0.59198389	-0.322899569	93.80355678	0.089686522	CHURC1	244
ENSG00000005812	6080	-0.614197218	3.06E-18	-0.752419237	-0.475975199	96.32656226	0.105377801	FBXL3	246
ENSG00000134463	657	-1.44148819	1.33E-13	-1.82310799	-1.059868389	96.74660278	0.739099619	ECHDC3	246
ENSG00000122035	10864	-1.280364282	6.21E-17	-1.580495903	-0.98023266	95.64425601	0.452749362	RASL11A	247
ENSG00000185432	5190	-1.555808123	2.39E-13	-1.972112833	-1.139503413	98.90825524	0.964146473	METTL7A	249
ENSG00000119138	20968	-1.444350511	4.45E-13	-1.835289539	-1.053411483	98.06489241	0.868075439	KLF9	249
ENSG00000180628	1538	-0.570678861	5.81E-29	-0.670826467	-0.470531256	90.94627203	0.049080971	PCGF5	261
ENSG00000122756	1944	-3.275177383	3.55E-18	-4.013667485	-2.53668728	97.19857328	2.879343561	CNTFR	261
ENSG00000164209	3880	-0.31623589	6.48E-12	-0.406473136	-0.225998644	91.857762	0.040046961	SLC25A46	261
ENSG00000186479	24389	-2.615994105	5.16E-14	-3.297105079	-1.934883132	97.37693905	2.46322391	RGS7BP	262
ENSG00000185010	29161	-1.169154513	6.17E-11	-1.519563038	-0.818745989	97.77499538	0.672254275	F8	267
ENSG00000168546	30060	-2.011488754	8.34E-12	-2.58850116	-1.434476347	98.01093382	1.817550701	GFRA2	269
ENSG00000197561	24348	-3.648301253	7.14E-16	-4.534567159	-2.762035346	96.53655427	4.245890824	ELANE	272
ENSG00000106809	29123	-4.233891702	1.01E-16	-5.233296082	-3.234487322	98.30405528	5.600336468	OGN	273
ENSG00000171303	13706	-2.493651256	1.50E-11	-3.21794255	-1.769359962	98.32176875	2.870883593	KCNK3	276
ENSG00000146374	14940	-2.825171704	6.43E-15	-3.535514248	-2.114829161	97.81260455	2.670517177	RSPO3	277
ENSG00000143028	6471	-1.999002535	5.85E-14	-2.520603742	-1.477401328	98.02886817	1.482404614	SYPL2	277
ENSG00000115137	12624	-0.61533267	1.77E-11	-0.794700614	-0.435964726	96.87883356	0.17415453	DNAJC27	278
ENSG00000164442	30311	-1.118027612	7.24E-11	-1.454344736	-0.781710488	97.84363659	0.604753471	CITED2	280
ENSG00000141469	1218	-1.755633918	9.38E-11	-2.286929352	-1.224338484	96.63131547	1.520743936	SLC14A1	286
ENSG00000174080	30226	-0.959306911	2.54E-11	-1.241150885	-0.677462937	97.31957932	0.410207394	CTSF	287
ENSG00000183287	26292	-3.291951782	8.60E-11	-4.28615062	-2.297752944	99.01650898	5.630624432	CCBE1	292
ENSG00000153993	26942	-2.49935267	6.36E-16	-3.105452549	-1.89325279	97.56933271	1.971609867	SEMA3D	299
ENSG00000112964	27655	-2.172273889	2.40E-14	-2.730473652	-1.614074126	98.36408541	1.706732389	GHR	300
ENSG00000130988	13713	-2.448584003	1.29E-13	-3.096498447	-1.800669559	98.99250192	2.362964878	RGN	304
ENSG00000162407	8295	-1.277638446	3.38E-13	-1.621684271	-0.933592621	98.24682734	0.664120872	PLPP3	317
ENSG00000160339	9648	-3.98105732	3.37E-12	-5.101909606	-2.860205035	96.79561608	6.580915028	FCN2	319
ENSG00000238243	14341	-3.083670209	1.00E-11	-3.97165495	-2.195685469	97.01503996	4.018408685	OR2W3	320
ENSG00000112425	10711	-1.149806235	4.11E-25	-1.36750726	-0.932105209	96.82157495	0.24280691	EPM2A	323
ENSG00000120057	28180	-3.855881741	1.70E-13	-4.881260133	-2.830503348	96.23307621	5.631328593	SFRP5	323
ENSG00000000005	29584	-3.337966131	5.79E-11	-4.336923354	-2.339008908	95.99302806	4.908658509	TNMD	323
ENSG00000182836	27756	-3.554729428	1.22E-11	-4.582602088	-2.526856768	98.7938525	5.999301931	PLCXD3	327
ENSG00000185129	17345	-0.503036861	2.69E-15	-0.627766033	-0.37830769	94.08885687	0.080379244	PURA	328
ENSG00000136100	18711	-0.383146596	3.64E-15	-0.478607762	-0.287685429	93.87456909	0.044882553	VPS36	330
ENSG00000091181	20256	-2.150036026	3.05E-11	-2.784292077	-1.515779976	96.18838492	2.097959789	IL5RA	331
ENSG00000134352	27346	-0.8933067	4.99E-12	-1.146837901	-0.639775499	97.75336541	0.355914317	IL6ST	339
ENSG00000132975	26982	-3.654525583	3.88E-14	-4.601363519	-2.707687647	94.79425871	4.458353838	GPR12	340
ENSG00000196616	7198	-5.8790753	3.25E-32	-6.854308485	-4.903842116	98.53508236	5.321549205	ADH1B	341
ENSG00000168309	18011	-2.748065456	3.89E-13	-3.490013438	-2.006117475	99.05942115	3.16798781	FAM107A	343
ENSG00000180481	24261	-1.252179294	9.82E-15	-1.569199198	-0.935159389	93.28796749	0.499871879	GLIPR1L2	350
ENSG00000115310	23693	-0.446195457	4.66E-11	-0.57907483	-0.313316084	95.29994905	0.088315487	RTN4	351
ENSG00000171819	11887	-4.232701791	1.41E-16	-5.236535894	-3.228867688	96.9221645	5.519522661	ANGPTL7	352
ENSG00000112232	9199	-3.596934904	3.09E-11	-4.658312844	-2.535556964	98.20024706	6.001123994	KHDRBS2	355
ENSG00000258484	3115	-1.375110806	6.77E-14	-1.734836106	-1.015385507	91.91679451	0.637150928	SPESP1	356
ENSG00000172260	21775	-2.451343709	8.08E-11	-3.190615154	-1.712072264	98.49145121	3.055191439	NEGR1	360
ENSG00000159307	26650	-2.053363786	4.90E-12	-2.635919257	-1.470808315	97.73092032	1.820646489	SCUBE1	370
ENSG00000120129	13714	-1.568837405	9.53E-12	-2.020127519	-1.117547292	97.50424403	1.101494417	DUSP1	374
ENSG00000180929	12153	-1.62375691	4.94E-18	-1.99147312	-1.256040699	90.46522674	0.630192738	GPR62	375
ENSG00000163827	10237	-2.6024386	8.76E-12	-3.349730247	-1.855146952	98.93750511	3.193014649	LRRC2	378
ENSG00000065325	30547	-3.590458217	5.79E-13	-4.567120895	-2.613795539	97.39117214	5.082569551	GLP2R	380
