	CHR	START	END	X0	X1	MeanDecreaseAccuracy	MeanDecreaseGini	Symbol	V1	V2	V3	V4	V5	V6	V7
cg24394172	chr4	46995053	46995354	0.015782099	-0.000141566	0.0016295	0.919139009	GABRA4	chr4	46995203	46995204	cg24394172	GABRA4	Island	II
cg10901368	chr3	181441987	181442288	0.00552183	1.23E-05	0.000616364	0.915164297	SOX2OT	chr3	181442137	181442138	cg10901368	SOX2OT	N_Shelf	I
cg26949694	chr11	27741910	27742211	0.002146362	8.92E-05	0.000341341	0.881708668	BDNF	chr11	27742060	27742061	cg26949694	BDNF	Island	II
cg00529958	chr13	100624138	100624439	0.002362114	3.31E-07	0.000244099	0.879089486	ZIC5	chr13	100624288	100624289	cg00529958	ZIC5	Island	I
cg10655046	chr2	114256870	114257171	0.000158794	-6.88E-06	1.82E-05	0.861391814	FOXD4L1	chr2	114257020	114257021	cg10655046	FOXD4L1	Island	II
cg18988498	chr11	31824112	31824413	0.00491667	-2.00E-05	0.000485883	0.838571729	PAX6	chr11	31824262	31824263	cg18988498	PAX6	N_Shore	I
cg02531437	chr10	120355110	120355411	0.003172273	5.57E-05	0.000405868	0.786879039	PRLHR	chr10	120355260	120355261	cg02531437	PRLHR	Island	I
cg14871932	chr7	44185173	44185474	0.003467869	-7.80E-06	0.000352741	0.751420386	GCK	chr7	44185323	44185324	cg14871932	GCK	Island	I
cg11618529	chr19	58951958	58952259	0.004922548	-1.33E-05	0.000506515	0.746920382	ZNF132	chr19	58952108	58952109	cg11618529	ZNF132	Island	II
cg14410016	chr2	176986509	176986810	0.002566903	-2.87E-05	0.000254087	0.722550633	HOXD9	chr2	176986659	176986660	cg14410016	HOXD9	Island	I
cg01722932	chr11	92702503	92702804	0.003615834	-8.39E-05	0.000291217	0.721768619	MTNR1B	chr11	92702653	92702654	cg01722932	MTNR1B	N_Shore	I
cg15842276	chr11	92702498	92702799	0.000565389	4.17E-05	0.000104649	0.713892938	MTNR1B	chr11	92702648	92702649	cg15842276	MTNR1B	N_Shore	II
cg23016129	chr10	22634074	22634375	0.012844855	-8.20E-05	0.001333862	0.713711072	SPAG6	chr10	22634224	22634225	cg23016129	SPAG6	Island	I
cg12597389	chr7	8482085	8482386	0.00387453	-6.88E-05	0.000320671	0.711027105	NXPH1	chr7	8482235	8482236	cg12597389	NXPH1	Island	I
cg05803237	chr11	92702478	92702779	0.001650804	9.42E-05	0.000247392	0.703286227	MTNR1B	chr11	92702628	92702629	cg05803237	MTNR1B	N_Shore	II
cg00090261	chr8	101118398	101118699	0.002701039	-5.07E-05	0.000259095	0.702396217	RGS22	chr8	101118548	101118549	cg00090261	RGS22	Island	II
cg06346138	chr1	17085921	17086222	0.000596053	6.14E-05	0.000120641	0.694040544	MST1P9	chr1	17086071	17086072	cg06346138	MST1P9	Island	I
cg26422458	chr1	79472302	79472603	0.001166365	1.46E-05	0.00013866	0.666902451	ELTD1	chr1	79472452	79472453	cg26422458	ELTD1	Island	I
cg03597347	chr6	28058759	28059060	0.003130586	0.000161355	0.000475046	0.663244949	ZSCAN12L1	chr6	28058909	28058910	cg03597347	ZSCAN12L1	CpG_Ocean	I
cg27177554	chr10	16561952	16562253	0.000628571	2.76E-06	8.62E-05	0.647542205	C1QL3	chr10	16562102	16562103	cg27177554	C1QL3	Island	I
cg06335867	chr7	8482175	8482476	0.003883417	1.75E-05	0.000462767	0.6378687	NXPH1	chr7	8482325	8482326	cg06335867	NXPH1	Island	I
cg24848035	chr8	101118375	101118676	0.001682479	4.63E-05	0.00023729	0.631582076	RGS22	chr8	101118525	101118526	cg24848035	RGS22	Island	I
cg22694818	chr1	75595820	75596121	0.003493939	-9.35E-05	0.000290879	0.622309245	LHX8	chr1	75595970	75595971	cg22694818	LHX8	Island	I
cg00901320	chr12	129338384	129338685	0.000685242	-1.55E-05	7.00E-05	0.619924781	GLT1D1	chr12	129338534	129338535	cg00901320	GLT1D1	Island	II
cg08065657	chr19	52222949	52223250	0.002119276	-2.63E-05	0.000249257	0.614583111	HAS1	chr19	52223099	52223100	cg08065657	HAS1	Island	II
cg11736940	chr1	155264876	155265177	0.00368582	-0.000138757	0.000324424	0.575885346	PKLR	chr1	155265026	155265027	cg11736940	PKLR	Island	II
cg04573550	chr14	38680163	38680464	0.00563944	-3.60E-05	0.000556039	0.573869778	SSTR1	chr14	38680313	38680314	cg04573550	SSTR1	Island	II
cg24437737	chr1	149400202	149400503	0.004326448	0.000171009	0.00062029	0.54995031	HIST2H2BF	chr1	149400352	149400353	cg24437737	HIST2H2BF	Island	I
cg00425918	chr8	23562996	23563297	0.002904789	-1.91E-05	0.000308172	0.547675021	NKX2-6	chr8	23563146	23563147	cg00425918	NKX2-6	Island	I
cg15000841	chr11	64815492	64815793	0.001364471	1.44E-05	0.000167071	0.527844623	NAALADL1	chr11	64815642	64815643	cg15000841	NAALADL1	Island	II
cg03696599	chr2	124782111	124782412	0.0022705	2.84E-05	0.000233551	0.527577891	CNTNAP5	chr2	124782261	124782262	cg03696599	CNTNAP5	Island	I
cg04111071	chr7	19813149	19813450	0.00741796	1.24E-05	0.000826286	0.527453848	TMEM196	chr7	19813299	19813300	cg04111071	TMEM196	S_Shore	I
cg23200020	chr19	35068405	35068706	0.002040196	-2.83E-05	0.000222582	0.523584973	LOC643719	chr19	35068555	35068556	cg23200020	LOC643719	Island	I
cg07084163	chr5	36066633	36066934	0.00142661	2.03E-05	0.000149932	0.515704437	UGT3A2	chr5	36066783	36066784	cg07084163	UGT3A2	CpG_Ocean	II
cg15084543	chr1	79472258	79472559	0.001382134	0.000120374	0.000286146	0.513491514	ELTD1	chr1	79472408	79472409	cg15084543	ELTD1	Island	I
cg21996227	chr1	156130676	156130977	0.004838617	7.90E-05	0.000595525	0.505241655	SEMA4A	chr1	156130826	156130827	cg21996227	SEMA4A	CpG_Ocean	I
cg10477621	chr7	19184800	19185101	0.004128193	-1.37E-05	0.000418289	0.493987382	FERD3L	chr7	19184950	19184951	cg10477621	FERD3L	Island	I
cg02025583	chr17	10632711	10633012	0.005448777	0.000137525	0.000718756	0.470806377	TMEM220	chr17	10632861	10632862	cg02025583	TMEM220	Island	II
cg01295392	chr12	108169419	108169720	0.003507447	-2.13E-05	0.000402806	0.45556829	ASCL4	chr12	108169569	108169570	cg01295392	ASCL4	Island	II
cg10661615	chr10	120355112	120355413	0.002623252	5.06E-05	0.000351621	0.441016932	PRLHR	chr10	120355262	120355263	cg10661615	PRLHR	Island	II
cg05057720	chr14	38724525	38724826	0.001713656	-4.26E-05	0.000164989	0.425995579	CLEC14A	chr14	38724675	38724676	cg05057720	CLEC14A	Island	I
cg19760241	chr17	35299860	35300161	0.000204678	8.06E-06	3.09E-05	0.417122434	LHX1	chr17	35300010	35300011	cg19760241	LHX1	Island	I
cg14486338	chr8	99440129	99440430	0.000702008	-3.81E-07	7.71E-05	0.400627086	KCNS2	chr8	99440279	99440280	cg14486338	KCNS2	Island	I
cg07160932	chr16	29888583	29888884	0.002258306	-3.46E-05	0.000199269	0.393758248	SEZ6L2	chr16	29888733	29888734	cg07160932	SEZ6L2	S_Shore	I
cg19897071	chr5	35991232	35991533	0.003593366	-4.14E-05	0.00032457	0.384545082	UGT3A1	chr5	35991382	35991383	cg19897071	UGT3A1	CpG_Ocean	I
cg16582779	chr14	29237052	29237353	0.000511197	-6.94E-06	4.93E-05	0.375088069	FOXG1	chr14	29237202	29237203	cg16582779	FOXG1	Island	II
cg07445246	chr14	96180503	96180804	0.003010613	-3.36E-05	0.000263705	0.360375716	TCL1A	chr14	96180653	96180654	cg07445246	TCL1A	Island	I
cg26980244	chr8	24772363	24772664	0.001091543	-3.34E-07	0.000119224	0.353164135	NEFM	chr8	24772513	24772514	cg26980244	NEFM	Island	II
cg21838979	chr2	106681795	106682096	0.000336693	-3.83E-05	6.96E-06	0.34936203	C2orf40	chr2	106681945	106681946	cg21838979	C2orf40	N_Shore	II
cg15513743	chr1	119528538	119528839	0.006623877	-3.46E-06	0.000744597	0.339868236	TBX15	chr1	119528688	119528689	cg15513743	TBX15	N_Shore	I
cg10210806	chr1	6514455	6514756	0.001369693	0.000257699	0.000391545	0.338338683	ESPN	chr1	6514605	6514606	cg10210806	ESPN	Island	I
cg05860723	chr12	81102336	81102637	0.002795767	-5.63E-05	0.000215337	0.328808445	MYF6	chr12	81102486	81102487	cg05860723	MYF6	Island	I
cg07105285	chr11	92702513	92702814	0.001639401	-1.49E-07	0.000170945	0.321363783	MTNR1B	chr11	92702663	92702664	cg07105285	MTNR1B	N_Shore	I
cg11429969	chr5	140180771	140181072	0.002936817	-6.76E-05	0.00027179	0.314193517	PCDHA2	chr5	140180921	140180922	cg11429969	PCDHA2	Island	I
cg13933080	chr10	22633995	22634296	0.003920064	-2.63E-05	0.000332769	0.301965044	SPAG6	chr10	22634145	22634146	cg13933080	SPAG6	Island	I
cg26053291	chr2	89064481	89064782	0.003445184	-6.03E-06	0.000322015	0.300366485	FLJ40330	chr2	89064631	89064632	cg26053291	FLJ40330	Island	I
cg12377139	chr10	22634068	22634369	0.001333333	-6.43E-06	0.000111437	0.298866842	SPAG6	chr10	22634218	22634219	cg12377139	SPAG6	Island	I
cg18247055	chr10	22634076	22634377	0.002420889	-2.07E-05	0.000271978	0.282430614	SPAG6	chr10	22634226	22634227	cg18247055	SPAG6	Island	I
cg03811478	chr3	137483546	137483847	0.001910361	-1.37E-05	0.00019776	0.280379764	SOX14	chr3	137483696	137483697	cg03811478	SOX14	Island	II
cg05617469	chr13	100624131	100624432	0.00173616	-1.86E-05	0.000156261	0.276610451	ZIC5	chr13	100624281	100624282	cg05617469	ZIC5	Island	II
cg14427009	chr13	58206908	58207209	0.001826795	-7.22E-06	0.000203873	0.269251195	PCDH17	chr13	58207058	58207059	cg14427009	PCDH17	Island	II
cg24854435	chr1	149286932	149287233	0.001599878	0.00010941	0.000284781	0.262333947	LOC388692	chr1	149287082	149287083	cg24854435	LOC388692	Island	I
cg16705627	chr13	112721800	112722101	0.004735131	7.48E-05	0.000610653	0.257394008	SOX1	chr13	112721950	112721951	cg16705627	SOX1	Island	I
cg18268547	chr17	79615402	79615703	0.002720831	-4.87E-05	0.00025946	0.252863153	TSPAN10	chr17	79615552	79615553	cg18268547	TSPAN10	Island	II
cg01009664	chr3	129693463	129693764	0.002133333	-2.66E-05	0.000233291	0.250557851	TRH	chr3	129693613	129693614	cg01009664	TRH	Island	II
cg20785796	chr2	200326571	200326872	0.001008772	3.40E-05	0.0001466	0.243891387	SATB2	chr2	200326721	200326722	cg20785796	SATB2	Island	I
cg02700891	chr3	129693436	129693737	0.002890324	-4.16E-05	0.000304976	0.243349316	TRH	chr3	129693586	129693587	cg02700891	TRH	Island	I
cg12451099	chr20	37356316	37356617	-1.97E-05	-7.14E-06	2.34E-07	0.234882749	SLC32A1	chr20	37356466	37356467	cg12451099	SLC32A1	Island	II
cg04961235	chr7	4901478	4901779	0.000298583	-2.81E-05	1.10E-05	0.234291071	PAPOLB	chr7	4901628	4901629	cg04961235	PAPOLB	Island	I
cg24136205	chr13	100624143	100624444	5.88E-05	-2.05E-05	-1.24E-05	0.229365465	ZIC5	chr13	100624293	100624294	cg24136205	ZIC5	Island	I
cg04436469	chr10	134598346	134598647	0.002451103	7.05E-06	0.000268982	0.224348825	NKX6-2	chr10	134598496	134598497	cg04436469	NKX6-2	Island	II
cg13738144	chr6	100054573	100054874	0.00164336	6.35E-06	0.000215942	0.221953682	PRDM13	chr6	100054723	100054724	cg13738144	PRDM13	Island	I
cg12426146	chr4	140656960	140657261	0.000103654	8.55E-05	8.92E-05	0.221890432	MAML3	chr4	140657110	140657111	cg12426146	MAML3	Island	II
cg04598121	chr8	57358355	57358656	0.000176471	1.38E-05	3.09E-05	0.220514173	PENK	chr8	57358505	57358506	cg04598121	PENK	Island	II
cg00336320	chr6	36252949	36253250	0.001415012	1.93E-05	0.000185491	0.214279671	PNPLA1	chr6	36253099	36253100	cg00336320	PNPLA1	CpG_Ocean	I
cg16404157	chr14	38724498	38724799	0.002387688	-2.76E-05	0.000239324	0.21424231	CLEC14A	chr14	38724648	38724649	cg16404157	CLEC14A	Island	II
cg13413955	chr9	842764	843065	0.000965517	3.35E-07	8.36E-05	0.214211486	DMRT1	chr9	842914	842915	cg13413955	DMRT1	Island	I
cg13558754	chr19	36247717	36248018	0	-6.47E-06	-5.80E-06	0.208521666	HSPB6	chr19	36247867	36247868	cg13558754	HSPB6	Island	I
cg10608596	chr19	11784975	11785276	-1.00E-04	2.73E-05	1.23E-05	0.207487916	ZNF833	chr19	11785125	11785126	cg10608596	ZNF833	Island	I
cg11959399	chr20	741573	741874	0.00397323	-1.08E-05	0.000408787	0.206830041	C20orf54	chr20	741723	741724	cg11959399	C20orf54	Island	I
cg03696974	chr16	29888520	29888821	0.000285714	-3.39E-05	-3.63E-07	0.200944846	SEZ6L2	chr16	29888670	29888671	cg03696974	SEZ6L2	S_Shore	II
cg23049458	chr1	62660474	62660775	0.001550588	2.03E-05	0.000176757	0.198645509	L1TD1	chr1	62660624	62660625	cg23049458	L1TD1	Island	I
cg18297437	chr3	147131182	147131483	0	2.13E-05	1.88E-05	0.196310354	ZIC1	chr3	147131332	147131333	cg18297437	ZIC1	Island	I
cg04858155	chr11	44332219	44332520	0.010055244	-8.18E-05	0.000923996	0.194803902	ALX4	chr11	44332369	44332370	cg04858155	ALX4	Island	I
cg14036143	chr1	145415291	145415592	0.001689866	-3.52E-05	0.000126445	0.191500364	HFE2	chr1	145415441	145415442	cg14036143	HFE2	Island	I
cg02694427	chr2	176964362	176964663	0	2.17E-05	1.92E-05	0.185207111	HOXD12	chr2	176964512	176964513	cg02694427	HOXD12	Island	I
cg07598952	chr6	142409606	142409907	0.001576248	-6.92E-06	0.000175849	0.185123323	NMBR	chr6	142409756	142409757	cg07598952	NMBR	Island	I
cg17849569	chr6	28058761	28059062	9.15E-05	7.32E-05	7.73E-05	0.174791278	ZSCAN12L1	chr6	28058911	28058912	cg17849569	ZSCAN12L1	CpG_Ocean	I
cg24281267	chr6	35479498	35479799	0.000279645	2.05E-05	4.83E-05	0.173520185	TULP1	chr6	35479648	35479649	cg24281267	TULP1	Island	I
cg15540820	chr3	27765133	27765434	0.002995435	7.29E-05	0.000401672	0.173262267	EOMES	chr3	27765283	27765284	cg15540820	EOMES	Island	II
cg01006802	chr16	2892616	2892917	0.003553789	-1.50E-05	0.000392566	0.169928671	TMPRSS8	chr16	2892766	2892767	cg01006802	TMPRSS8	Island	I
cg16961816	chr7	96633380	96633681	0.001374227	-1.37E-05	0.000130548	0.168373913	DLX6AS	chr7	96633530	96633531	cg16961816	DLX6AS	N_Shore	I
cg25032595	chr13	96204828	96205129	0.002975452	-2.18E-05	0.000330316	0.167066405	CLDN10	chr13	96204978	96204979	cg25032595	CLDN10	Island	I
cg17508991	chr20	30639155	30639456	0.002451282	-2.09E-05	0.000246823	0.166251118	HCK	chr20	30639305	30639306	cg17508991	HCK	N_Shore	I
cg20051292	chr8	101118362	101118663	0.0022506	-7.51E-05	0.000142877	0.16589893	RGS22	chr8	101118512	101118513	cg20051292	RGS22	Island	II
cg20996682	chr7	79083898	79084199	0.006388282	-3.41E-05	0.000705979	0.16280696	MAGI2	chr7	79084048	79084049	cg20996682	MAGI2	S_Shore	II
cg20279283	chr8	11566713	11567014	0.004212495	-0.000101972	0.00035131	0.161133455	GATA4	chr8	11566863	11566864	cg20279283	GATA4	Island	II
cg16790847	chr3	147123279	147123580	0.001363024	-7.21E-06	0.000163827	0.15645179	ZIC4	chr3	147123429	147123430	cg16790847	ZIC4	N_Shelf	II
cg05863502	chr9	140771840	140772141	0.001485366	-2.06E-05	0.000162741	0.155047389	CACNA1B	chr9	140771990	140771991	cg05863502	CACNA1B	Island	I
cg14319235	chr1	79472132	79472433	0.00117329	-1.36E-05	0.000155509	0.153339885	ELTD1	chr1	79472282	79472283	cg14319235	ELTD1	Island	II
cg13400168	chr19	54481470	54481771	0.000106613	7.02E-06	1.88E-05	0.150595148	CACNG8	chr19	54481620	54481621	cg13400168	CACNG8	Island	II
cg22041640	chr5	140767092	140767393	0.000650939	-5.59E-07	7.51E-05	0.150369454	PCDHGA4	chr5	140767242	140767243	cg22041640	PCDHGA4	Island	I
cg27615378	chr9	70918741	70919042	0.000731707	1.38E-05	0.000102719	0.148760362	FOXD4L3	chr9	70918891	70918892	cg27615378	FOXD4L3	Island	I
cg18445088	chr22	40081662	40081963	0.00406452	-5.38E-05	0.000383631	0.148636213	CACNA1I	chr22	40081812	40081813	cg18445088	CACNA1I	Island	I
cg20585869	chr8	24772183	24772484	0.002669355	6.32E-06	0.000267587	0.139890051	NEFM	chr8	24772333	24772334	cg20585869	NEFM	Island	I
cg23302649	chr14	29243540	29243841	0.001508331	-1.41E-05	0.000173302	0.139855781	C14orf23	chr14	29243690	29243691	cg23302649	C14orf23	Island	I
cg08690859	chr2	200333579	200333880	0.003547011	-6.28E-05	0.000291693	0.139775718	FLJ32063	chr2	200333729	200333730	cg08690859	FLJ32063	Island	I
cg07586008	chr19	49636385	49636686	0.005050151	-4.19E-05	0.000528868	0.138381613	PPFIA3	chr19	49636535	49636536	cg07586008	PPFIA3	Island	I
cg16544169	chr8	23564567	23564868	0.002342294	-5.07E-05	0.000219986	0.13302246	NKX2-6	chr8	23564717	23564718	cg16544169	NKX2-6	Island	II
cg21101465	chr13	28493254	28493555	0.005579532	-6.67E-06	0.000570965	0.132903325	PDX1	chr13	28493404	28493405	cg21101465	PDX1	N_Shore	II
cg05372113	chr19	41595825	41596126	0.001632692	6.60E-06	0.000195009	0.132017526	CYP2A13	chr19	41595975	41595976	cg05372113	CYP2A13	Island	I
cg04060571	chr16	75267707	75268008	0.000603036	0.000132151	0.000183819	0.130991362	BCAR1	chr16	75267857	75267858	cg04060571	BCAR1	N_Shore	II
cg03876032	chr10	26500915	26501216	0.001884615	-2.55E-05	0.000185113	0.128973382	MYO3A	chr10	26501065	26501066	cg03876032	MYO3A	Island	I
cg05158615	chr7	24323409	24323710	0.002419039	-6.98E-08	0.000271469	0.128185072	NPY	chr7	24323559	24323560	cg05158615	NPY	Island	II
cg11668749	chr1	229568210	229568511	0.002269468	-4.04E-05	0.000202652	0.127555027	ACTA1	chr1	229568360	229568361	cg11668749	ACTA1	Island	I
cg01684881	chr17	42635269	42635570	0.001715996	-1.46E-05	0.000173282	0.124453739	FZD2	chr17	42635419	42635420	cg01684881	FZD2	Island	I
cg15459780	chr12	104609830	104610131	0.002269767	-6.79E-06	0.000240107	0.124074205	TXNRD1	chr12	104609980	104609981	cg15459780	TXNRD1	Island	I
cg09937438	chr7	1094855	1095156	0.002322476	-4.99E-05	0.000194393	0.123247415	C7orf50	chr7	1095005	1095006	cg09937438	C7orf50	N_Shelf	I
cg18653451	chr19	46916868	46917169	0.002587194	-1.34E-05	0.000263811	0.118803719	CCDC8	chr19	46917018	46917019	cg18653451	CCDC8	S_Shore	I
cg17696160	chr14	37136042	37136343	0.001333333	3.43E-05	0.000157596	0.118678311	PAX9	chr14	37136192	37136193	cg17696160	PAX9	Island	II
cg05637536	chr1	154474918	154475219	0.001943713	-2.09E-05	0.00019965	0.113623027	TDRD10	chr1	154475068	154475069	cg05637536	TDRD10	Island	I
cg10966582	chr1	17085710	17086011	0.000540541	5.48E-05	0.000108152	0.113353283	MST1P9	chr1	17085860	17085861	cg10966582	MST1P9	Island	I
cg07836815	chr17	61778365	61778666	1.06E-05	6.97E-06	6.63E-06	0.111698701	LIMD2	chr17	61778515	61778516	cg07836815	LIMD2	Island	I
cg04851268	chr3	172167295	172167596	0.000436973	4.26E-05	8.02E-05	0.110629565	GHSR	chr3	172167445	172167446	cg04851268	GHSR	N_Shore	II
cg04564920	chr3	122296628	122296929	0.003349206	-1.37E-05	0.000329342	0.10986497	PARP15	chr3	122296778	122296779	cg04564920	PARP15	Island	I
cg24932457	chr1	175568409	175568710	0.00122098	1.37E-05	0.000139655	0.108594377	TNR	chr1	175568559	175568560	cg24932457	TNR	Island	I
cg26186239	chr20	62119342	62119643	0.001661261	-2.01E-05	0.000148623	0.108451807	EEF1A2	chr20	62119492	62119493	cg26186239	EEF1A2	Island	II
cg21255438	chr8	70983610	70983911	0.001724542	-2.80E-05	0.000167317	0.105126492	PRDM14	chr8	70983760	70983761	cg21255438	PRDM14	Island	II
cg10659886	chr19	58629569	58629870	0.002940278	-2.03E-05	0.000318132	0.104214084	ZSCAN18	chr19	58629719	58629720	cg10659886	ZSCAN18	Island	I
cg20842253	chr2	27529638	27529939	0.001975071	6.73E-06	0.000221821	0.103479808	TRIM54	chr2	27529788	27529789	cg20842253	TRIM54	Island	I
cg19544372	chr19	9609255	9609556	0.000482759	-1.06E-05	3.08E-05	0.103339755	ZNF560	chr19	9609405	9609406	cg19544372	ZNF560	S_Shore	II
cg25707767	chr7	6793827	6794128	0.003183185	-3.42E-05	0.000338855	0.102731942	RSPH10B	chr7	6793977	6793978	cg25707767	RSPH10B	Island	I
cg21595709	chr19	15344036	15344337	0.00095356	-7.14E-06	0.000102102	0.10248368	EPHX3	chr19	15344186	15344187	cg21595709	EPHX3	Island	II
cg13358636	chr2	124782113	124782414	0.000671914	2.43E-07	6.65E-05	0.101723701	CNTNAP5	chr2	124782263	124782264	cg13358636	CNTNAP5	Island	I
cg00965023	chr19	11785038	11785339	0.001222222	6.30E-05	0.000188991	0.099816461	ZNF833	chr19	11785188	11785189	cg00965023	ZNF833	Island	II
cg18591496	chr19	41595827	41596128	0.002534359	-6.75E-06	0.000267382	0.099262815	CYP2A13	chr19	41595977	41595978	cg18591496	CYP2A13	Island	I
cg17011276	chr5	140797371	140797672	0.000803846	6.15E-06	0.000102801	0.098968332	PCDHGA4	chr5	140797521	140797522	cg17011276	PCDHGA4	Island	II
cg04521004	chr3	157821112	157821413	0.00302555	-4.28E-05	0.000287556	0.098154289	SHOX2	chr3	157821262	157821263	cg04521004	SHOX2	Island	II
cg23818870	chr1	169396635	169396936	0.002489899	-2.64E-05	0.000240655	0.097699307	C1orf114	chr1	169396785	169396786	cg23818870	C1orf114	Island	II
cg16269733	chr1	156616654	156616955	0.002156532	-1.21E-05	0.000228511	0.096218499	BCAN	chr1	156616804	156616805	cg16269733	BCAN	Island	I
cg11940285	chr3	129693235	129693536	0.000243902	7.31E-08	3.06E-05	0.094615187	TRH	chr3	129693385	129693386	cg11940285	TRH	Island	I
cg04150495	chr20	26190178	26190479	0.001307201	7.71E-05	0.000213423	0.093658405	MIR663	chr20	26190328	26190329	cg04150495	MIR663	Island	I
cg20794824	chr3	170138055	170138356	0.000547501	0.000106635	0.000150606	0.093450085	CLDN11	chr3	170138205	170138206	cg20794824	CLDN11	S_Shore	II
cg03348397	chr8	54789498	54789799	0.001243243	-7.14E-06	0.000138801	0.091766263	RGS20	chr8	54789648	54789649	cg03348397	RGS20	Island	II
cg23994043	chr2	200326575	200326876	0.001151515	6.71E-06	0.000120846	0.090939852	SATB2	chr2	200326725	200326726	cg23994043	SATB2	Island	I
cg00058879	chr22	40082023	40082324	0.002491296	-4.14E-05	0.000259136	0.09045558	CACNA1I	chr22	40082173	40082174	cg00058879	CACNA1I	Island	II
cg17463145	chr7	79083861	79084162	0.003615225	-3.33E-05	0.000380754	0.089567681	MAGI2	chr7	79084011	79084012	cg17463145	MAGI2	S_Shore	II
cg13023623	chr14	57276107	57276408	0.001220607	-4.13E-07	0.000120574	0.088314377	OTX2	chr14	57276257	57276258	cg13023623	OTX2	Island	I
cg03184290	chr4	111550516	111550817	0.001003003	7.42E-06	0.000118781	0.087930518	PITX2	chr4	111550666	111550667	cg03184290	PITX2	S_Shore	I
cg23817893	chr11	86085782	86086083	0.003048057	-7.18E-06	0.000307327	0.086564763	CCDC81	chr11	86085932	86085933	cg23817893	CCDC81	Island	I
cg05353133	chr1	229567764	229568065	0.003768676	-3.78E-07	0.000352866	0.086463661	ACTA1	chr1	229567914	229567915	cg05353133	ACTA1	Island	I
cg19414741	chr8	57358090	57358391	0.001909713	1.51E-05	0.000196049	0.086295486	PENK	chr8	57358240	57358241	cg19414741	PENK	Island	II
